f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f jV0200m jV0200f jV0400m jV0400f 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
