f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
0.117238 1.21759 180 0.26309 -180 1 0 1.63354 90 0.1938 90 1.63354 -90
0.117509 1.23046 180 0.267305 -180 1 0 1.64682 90 0.197359 90 1.64682 -90
0.11778 1.24355 180 0.27162 -180 1 0 1.6603 90 0.201008 90 1.6603 -90
0.118052 1.25687 180 0.276039 -180 1 0 1.67401 90 0.204749 90 1.67401 -90
0.118324 1.27041 180 0.280564 -180 1 0 1.68794 90 0.208586 90 1.68794 -90
0.118597 1.28419 180 0.285199 -180 1 0 1.7021 90 0.212521 90 1.7021 -90
0.118871 1.29821 180 0.289948 -180 1 0 1.7165 90 0.216558 90 1.7165 -90
0.119145 1.31247 180 0.294814 -180 1 0 1.73114 90 0.220701 90 1.73114 -90
0.11942 1.32699 180 0.299802 -180 1 0 1.74603 90 0.224953 90 1.74603 -90
0.119696 1.34177 180 0.304915 -180 1 0 1.76118 90 0.229318 90 1.76118 -90
0.119972 1.35682 180 0.310159 -180 1 0 1.77658 90 0.233799 90 1.77658 -90
0.120249 1.37214 -180 0.315536 -180 1 0 1.79226 90 0.238402 90 1.79226 -90
0.120526 1.38775 180 0.321053 -180 1 0 1.80821 90 0.243129 90 1.80821 -90
0.120804 1.40365 180 0.326713 -180 1 0 1.82445 90 0.247987 90 1.82445 -90
0.121083 1.41984 180 0.332523 -180 1 0 1.84098 90 0.252979 90 1.84098 -90
0.121362 1.43635 180 0.338486 -180 1 0 1.85782 90 0.25811 90 1.85782 -90
0.121642 1.45317 180 0.34461 -180 1 0 1.87496 90 0.263386 90 1.87496 -90
0.121923 1.47031 180 0.350899 -180 1 0 1.89242 90 0.268812 90 1.89242 -90
0.122204 1.48779 -180 0.35736 -180 1 0 1.91021 90 0.274393 90 1.91021 -90
0.122486 1.50562 180 0.364 -180 1 0 1.92833 90 0.280136 90 1.92833 -90
0.122769 1.5238 180 0.370824 -180 1 0 1.94681 90 0.286047 90 1.94681 -90
0.123052 1.54234 180 0.37784 -180 1 0 1.96564 90 0.292131 90 1.96564 -90
0.123336 1.56127 180 0.385056 -180 1 0 1.98484 90 0.298397 90 1.98484 -90
0.123621 1.58058 180 0.392478 -180 1 0 2.00442 90 0.304851 90 2.00442 -90
0.123906 1.6003 180 0.400116 -180 1 0 2.0244 90 0.3115 90 2.0244 -90
0.124192 1.62043 180 0.407977 -180 1 0 2.04478 90 0.318353 90 2.04478 -90
0.124479 1.64098 180 0.41607 -180 1 0 2.06557 90 0.325418 90 2.06557 -90
0.124766 1.66198 180 0.424405 -180 1 0 2.0868 90 0.332703 90 2.0868 -90
0.125054 1.68344 180 0.432992 -180 1 0 2.10848 90 0.340218 90 2.10848 -90
0.125342 1.70537 180 0.441841 -180 1 0 2.13061 90 0.347972 90 2.13061 -90
0.125632 1.72778 180 0.450964 -180 1 0 2.15322 90 0.355976 90 2.15322 -90
0.125922 1.7507 180 0.46037 -180 1 0 2.17632 90 0.36424 90 2.17632 -90
0.126212 1.77414 180 0.470073 -180 1 0 2.19993 90 0.372775 90 2.19993 -90
0.126503 1.79812 180 0.480086 -180 1 0 2.22407 90 0.381594 90 2.22407 -90
0.126795 1.82266 180 0.490422 -180 1 0 2.24875 90 0.390708 90 2.24875 -90
0.127088 1.84777 180 0.501095 -180 1 0 2.274 90 0.400132 90 2.274 -90
0.127381 1.87349 180 0.51212 -180 1 0 2.29983 90 0.40988 90 2.29983 -90
0.127675 1.89983 180 0.523513 -180 1 0 2.32626 90 0.419965 90 2.32626 -90
0.12797 1.92682 180 0.535292 -180 1 0 2.35333 90 0.430405 90 2.35333 -90
0.128265 1.95448 180 0.547473 -180 1 0 2.38105 90 0.441215 90 2.38105 -90
0.128561 1.98283 -180 0.560076 -180 1 0 2.40945 90 0.452414 90 2.40945 -90
0.128858 2.01191 180 0.573121 -180 1 0 2.43855 90 0.464019 90 2.43855 -90
0.129155 2.04174 180 0.586628 -180 1 0 2.46838 90 0.476052 90 2.46838 -90
0.129453 2.07235 180 0.600622 -180 1 0 2.49898 90 0.488532 90 2.49898 -90
0.129752 2.10377 180 0.615125 -180 1 0 2.53036 90 0.501483 90 2.53036 -90
0.130051 2.13605 -180 0.630164 -180 1 0 2.56257 90 0.514929 90 2.56257 -90
0.130351 2.16921 180 0.645765 -180 1 0 2.59565 90 0.528895 90 2.59565 -90
0.130652 2.20329 180 0.661957 -180 1 0 2.62961 90 0.543408 90 2.62961 -90
0.130954 2.23833 180 0.678771 -180 1 0 2.66451 90 0.558497 90 2.66451 -90
0.131256 2.27438 180 0.696241 -180 1 0 2.70039 90 0.574193 90 2.70039 -90
0.131559 2.31147 -180 0.714401 -180 1 0 2.73729 90 0.590529 90 2.73729 -90
0.131862 2.34967 -180 0.733289 -180 1 0 2.77525 90 0.607541 90 2.77525 -90
0.132166 2.38901 180 0.752946 -180 1 0 2.81432 90 0.625266 90 2.81432 -90
0.132471 2.42956 180 0.773414 -180 1 0 2.85457 90 0.643745 90 2.85457 -90
0.132777 2.47137 -180 0.794741 -180 1 0 2.89603 90 0.663023 90 2.89603 -90
0.133083 2.5145 180 0.816975 -180 1 0 2.93878 90 0.683145 90 2.93878 -90
0.133391 2.55902 180 0.84017 -180 1 0 2.98288 90 0.704162 90 2.98288 -90
0.133698 2.605 -180 0.864385 -180 1 0 3.02838 90 0.726128 90 3.02838 -90
0.134007 2.65251 180 0.889681 -180 1 0 3.07538 90 0.749103 90 3.07538 -90
0.134316 2.70165 180 0.916125 -180 1 0 3.12394 90 0.773148 90 3.12394 -90
0.134626 2.75248 180 0.94379 -180 1 0 3.17415 90 0.798334 90 3.17415 -90
0.134937 2.80512 180 0.972754 -180 1 0 3.2261 90 0.824732 90 3.2261 -90
0.135248 2.85965 -180 1.0031 -180 1 0 3.27989 90 0.852425 90 3.27989 -90
0.13556 2.91619 180 1.03493 -180 1 0 3.33561 90 0.881499 90 3.33561 -90
0.135873 2.97485 180 1.06833 -180 1 0 3.39339 90 0.912049 90 3.39339 -90
0.136187 3.03577 180 1.10342 -180 1 0 3.45335 90 0.944177 90 3.45335 -90
0.136501 3.09908 -180 1.14031 -180 1 0 3.51562 90 0.977997 90 3.51562 -90
0.136816 3.16493 180 1.17914 -180 1 0 3.58034 90 1.01363 90 3.58034 -90
0.137131 3.23349 180 1.22004 -180 1 0 3.64767 90 1.05122 90 3.64767 -90
0.137448 3.30492 180 1.26318 -180 1 0 3.71778 90 1.0909 90 3.71778 -90
0.137765 3.37944 180 1.30873 -180 1 0 3.79086 90 1.13284 90 3.79086 -90
0.138083 3.45724 180 1.35687 -180 1 0 3.86711 90 1.17722 90 3.86711 -90
0.138402 3.53856 180 1.40781 -180 1 0 3.94675 90 1.22423 90 3.94675 -90
0.138721 3.62367 180 1.46178 -180 1 0 4.03003 90 1.2741 90 4.03003 -90
0.139041 3.71283 180 1.51905 -180 1 0 4.11723 90 1.32707 90 4.11723 -90
0.139362 3.80638 -180 1.57988 -180 1 0 4.20864 90 1.3834 90 4.20864 -90
0.139684 3.90464 180 1.64461 -180 1 0 4.30459 90 1.4434 90 4.30459 -90
0.140006 4.00801 180 1.71358 -180 1 0 4.40546 90 1.50741 90 4.40546 -90
0.140329 4.11692 180 1.78719 -180 1 0 4.51165 90 1.57579 90 4.51165 -90
0.140653 4.23185 180 1.86588 -180 1 0 4.62363 90 1.64897 90 4.62363 -90
0.140977 4.35333 180 1.95017 -180 1 0 4.74191 90 1.72743 90 4.74191 -90
0.141303 4.48198 180 2.04061 -180 1 0 4.86707 90 1.81171 90 4.86707 -90
0.141629 4.61849 180 2.13785 -180 1 0 4.99978 90 1.90243 90 4.99978 -90
