f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f 19m 19f 20m 20f 21m 21f 22m 22f 23m 23f 24m 24f jV0013m jV0013f jV0014m jV0014f jV0015m jV0015f jV0016m jV0016f jV0017m jV0017f jV0018m jV0018f jV0020m jV0020f jV0019m jV0019f jV0022m jV0022f jV0021m jV0021f jV0024m jV0024f jV0023m jV0023f jV0100m jV0100f jV0200m jV0200f jV0300m jV0300f jV0400m jV0400f jV0500m jV0500f jV0600m jV0600f jV0800m jV0800f jV0700m jV0700f jV1000m jV1000f jV0900m jV0900f jV1200m jV1200f jV1100m jV1100f 
12915.5 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-10 -90 0.00022 180 9.73806e-10 -90 0.0001005 180 9.73806e-10 -90 8.11505e-11 90 7.03304e-10 -90 0.00022 180 9.73806e-10 -90 0.0001005 180 9.73806e-10 -90 8.11505e-11 90 2.81322e-10 -90 0.00022 180 3.89522e-10 -90 0.0001005 180 3.89522e-10 -90 3.24602e-11 90 2.81322e-10 -90 0.00022 180 3.89522e-10 -90 0.0001005 180 3.89522e-10 -90 3.24602e-11 90
16681 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 9.08352e-10 -90 0.00022 180 1.25772e-09 -90 0.0001005 180 1.25772e-09 -90 1.0481e-10 90 9.08352e-10 -90 0.00022 180 1.25772e-09 -90 0.0001005 180 1.25772e-09 -90 1.0481e-10 90 3.63341e-10 -90 0.00022 180 5.03087e-10 -90 0.0001005 180 5.03087e-10 -90 4.19239e-11 90 3.63341e-10 -90 0.00022 180 5.03087e-10 -90 0.0001005 180 5.03087e-10 -90 4.19239e-11 90
21544.3 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.17318e-09 -90 0.00022 180 1.62441e-09 -90 0.0001005 180 1.62441e-09 -90 1.35367e-10 90 1.17318e-09 -90 0.00022 180 1.62441e-09 -90 0.0001005 180 1.62441e-09 -90 1.35367e-10 90 4.69273e-10 -90 0.00022 180 6.49762e-10 -90 0.0001005 180 6.49762e-10 -90 5.41468e-11 90 4.69273e-10 -90 0.00022 180 6.49762e-10 -90 0.0001005 180 6.49762e-10 -90 5.41468e-11 90
27825.6 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.51522e-09 -90 0.00022 180 2.098e-09 -90 0.0001005 179.999 2.098e-09 -90 1.74833e-10 90 1.51522e-09 -90 0.00022 180 2.098e-09 -90 0.0001005 179.999 2.098e-09 -90 1.74833e-10 90 6.06089e-10 -90 0.00022 180 8.392e-10 -90 0.0001005 180 8.392e-10 -90 6.99333e-11 90 6.06089e-10 -90 0.00022 180 8.392e-10 -90 0.0001005 180 8.392e-10 -90 6.99333e-11 90
35938.1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.95699e-09 -90 0.00022 180 2.70967e-09 -90 0.0001005 179.999 2.70967e-09 -90 2.25806e-10 90 1.95699e-09 -90 0.00022 180 2.70967e-09 -90 0.0001005 179.999 2.70967e-09 -90 2.25806e-10 90 7.82794e-10 -90 0.00022 180 1.08387e-09 -90 0.0001005 180 1.08387e-09 -90 9.03224e-11 90 7.82794e-10 -90 0.00022 180 1.08387e-09 -90 0.0001005 180 1.08387e-09 -90 9.03224e-11 90
46415.9 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 2.52754e-09 -90 0.00022 180 3.49968e-09 -90 0.0001005 179.999 3.49968e-09 -90 2.9164e-10 90 2.52754e-09 -90 0.00022 180 3.49968e-09 -90 0.0001005 179.999 3.49968e-09 -90 2.9164e-10 90 1.01102e-09 -90 0.00022 180 1.39987e-09 -90 0.0001005 180 1.39987e-09 -90 1.16656e-10 90 1.01102e-09 -90 0.00022 180 1.39987e-09 -90 0.0001005 180 1.39987e-09 -90 1.16656e-10 90
59948.4 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 3.26445e-09 -90 0.00022 180 4.52e-09 -90 0.0001005 179.999 4.52e-09 -90 3.76667e-10 90 3.26445e-09 -90 0.00022 180 4.52e-09 -90 0.0001005 179.999 4.52e-09 -90 3.76667e-10 90 1.30578e-09 -90 0.00022 180 1.808e-09 -90 0.0001005 179.999 1.808e-09 -90 1.50667e-10 90 1.30578e-09 -90 0.00022 180 1.808e-09 -90 0.0001005 179.999 1.808e-09 -90 1.50667e-10 90
77426.4 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 4.2162e-09 -90 0.00022 180 5.83781e-09 -90 0.0001005 179.998 5.83781e-09 -90 4.86484e-10 90 4.2162e-09 -90 0.00022 180 5.83781e-09 -90 0.0001005 179.998 5.83781e-09 -90 4.86484e-10 90 1.68648e-09 -90 0.00022 180 2.33512e-09 -90 0.0001005 179.999 2.33512e-09 -90 1.94594e-10 90 1.68648e-09 -90 0.00022 180 2.33512e-09 -90 0.0001005 179.999 2.33512e-09 -90 1.94594e-10 90
100000 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 5.44543e-09 -90 0.00022 180 7.53982e-09 -90 0.0001005 179.998 7.53982e-09 -90 6.28319e-10 90 5.44543e-09 -90 0.00022 180 7.53982e-09 -90 0.0001005 179.998 7.53982e-09 -90 6.28319e-10 90 2.17817e-09 -90 0.00022 180 3.01593e-09 -90 0.0001005 179.999 3.01593e-09 -90 2.51327e-10 90 2.17817e-09 -90 0.00022 180 3.01593e-09 -90 0.0001005 179.999 3.01593e-09 -90 2.51327e-10 90
129155 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-09 -90 0.00022 180 9.73806e-09 -90 0.0001005 179.997 9.73806e-09 -90 8.11505e-10 90 7.03304e-09 -90 0.00022 180 9.73806e-09 -90 0.0001005 179.997 9.73806e-09 -90 8.11505e-10 90 2.81322e-09 -90 0.00022 180 3.89522e-09 -90 0.0001005 179.999 3.89522e-09 -90 3.24602e-10 90 2.81322e-09 -90 0.00022 180 3.89522e-09 -90 0.0001005 179.999 3.89522e-09 -90 3.24602e-10 90
166810 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 9.08352e-09 -90 0.00022 180 1.25772e-08 -90 0.0001005 179.996 1.25772e-08 -90 1.0481e-09 90 9.08352e-09 -90 0.00022 180 1.25772e-08 -90 0.0001005 179.996 1.25772e-08 -90 1.0481e-09 90 3.63341e-09 -90 0.00022 180 5.03087e-09 -90 0.0001005 179.999 5.03087e-09 -90 4.19239e-10 90 3.63341e-09 -90 0.00022 180 5.03087e-09 -90 0.0001005 179.999 5.03087e-09 -90 4.19239e-10 90
215443 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.17318e-08 -90 0.00022 180 1.62441e-08 -90 0.0001005 179.995 1.62441e-08 -90 1.35367e-09 90 1.17318e-08 -90 0.00022 180 1.62441e-08 -90 0.0001005 179.995 1.62441e-08 -90 1.35367e-09 90 4.69273e-09 -90 0.00022 180 6.49762e-09 -90 0.0001005 179.998 6.49762e-09 -90 5.41468e-10 90 4.69273e-09 -90 0.00022 180 6.49762e-09 -90 0.0001005 179.998 6.49762e-09 -90 5.41468e-10 90
278256 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.51522e-08 -90 0.00022 180 2.098e-08 -90 0.0001005 179.994 2.098e-08 -90 1.74833e-09 90 1.51522e-08 -90 0.00022 180 2.098e-08 -90 0.0001005 179.994 2.098e-08 -90 1.74833e-09 90 6.06089e-09 -90 0.00022 180 8.392e-09 -90 0.0001005 179.998 8.392e-09 -90 6.99333e-10 90 6.06089e-09 -90 0.00022 180 8.392e-09 -90 0.0001005 179.998 8.392e-09 -90 6.99333e-10 90
359381 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.95699e-08 -90 0.00022 179.999 2.70967e-08 -90 0.0001005 179.992 2.70967e-08 -90 2.25806e-09 90 1.95699e-08 -90 0.00022 179.999 2.70967e-08 -90 0.0001005 179.992 2.70967e-08 -90 2.25806e-09 90 7.82794e-09 -90 0.00022 180 1.08387e-08 -90 0.0001005 179.997 1.08387e-08 -90 9.03224e-10 90 7.82794e-09 -90 0.00022 180 1.08387e-08 -90 0.0001005 179.997 1.08387e-08 -90 9.03224e-10 90
464159 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 2.52754e-08 -90 0.00022 179.999 3.49968e-08 -90 0.0001005 179.99 3.49968e-08 -90 2.9164e-09 90 2.52754e-08 -90 0.00022 179.999 3.49968e-08 -90 0.0001005 179.99 3.49968e-08 -90 2.9164e-09 90 1.01102e-08 -90 0.00022 180 1.39987e-08 -90 0.0001005 179.996 1.39987e-08 -90 1.16656e-09 90 1.01102e-08 -90 0.00022 180 1.39987e-08 -90 0.0001005 179.996 1.39987e-08 -90 1.16656e-09 90
599484 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 3.26445e-08 -90 0.00022 179.999 4.52e-08 -90 0.0001005 179.987 4.52e-08 -90 3.76667e-09 90 3.26445e-08 -90 0.00022 179.999 4.52e-08 -90 0.0001005 179.987 4.52e-08 -90 3.76667e-09 90 1.30578e-08 -90 0.00022 180 1.808e-08 -90 0.0001005 179.995 1.808e-08 -90 1.50667e-09 90 1.30578e-08 -90 0.00022 180 1.808e-08 -90 0.0001005 179.995 1.808e-08 -90 1.50667e-09 90
774264 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 4.2162e-08 -90 0.00022 179.999 5.83781e-08 -90 0.0001005 179.983 5.83781e-08 -90 4.86484e-09 90 4.2162e-08 -90 0.00022 179.999 5.83781e-08 -90 0.0001005 179.983 5.83781e-08 -90 4.86484e-09 90 1.68648e-08 -90 0.00022 179.999 2.33512e-08 -90 0.0001005 179.993 2.33512e-08 -90 1.94594e-09 90 1.68648e-08 -90 0.00022 179.999 2.33512e-08 -90 0.0001005 179.993 2.33512e-08 -90 1.94594e-09 90
1e+06 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 5.44543e-08 -90 0.00022 179.998 7.53982e-08 -90 0.0001005 179.979 7.53982e-08 -90 6.28319e-09 90 5.44543e-08 -90 0.00022 179.998 7.53982e-08 -90 0.0001005 179.979 7.53982e-08 -90 6.28319e-09 90 2.17817e-08 -90 0.00022 179.999 3.01593e-08 -90 0.0001005 179.991 3.01593e-08 -90 2.51327e-09 90 2.17817e-08 -90 0.00022 179.999 3.01593e-08 -90 0.0001005 179.991 3.01593e-08 -90 2.51327e-09 90
1.29155e+06 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-08 -90 0.00022 179.998 9.73806e-08 -90 0.0001005 179.972 9.73806e-08 -90 8.11505e-09 90 7.03304e-08 -90 0.00022 179.998 9.73806e-08 -90 0.0001005 179.972 9.73806e-08 -90 8.11505e-09 90 2.81322e-08 -90 0.00022 179.999 3.89522e-08 -90 0.0001005 179.989 3.89522e-08 -90 3.24602e-09 90 2.81322e-08 -90 0.00022 179.999 3.89522e-08 -90 0.0001005 179.989 3.89522e-08 -90 3.24602e-09 90
1.6681e+06 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 9.08352e-08 -90 0.00022 179.997 1.25772e-07 -90 0.0001005 179.964 1.25772e-07 -90 1.0481e-08 90 9.08352e-08 -90 0.00022 179.997 1.25772e-07 -90 0.0001005 179.964 1.25772e-07 -90 1.0481e-08 90 3.63341e-08 -90 0.00022 179.999 5.03087e-08 -90 0.0001005 179.986 5.03087e-08 -90 4.19239e-09 90 3.63341e-08 -90 0.00022 179.999 5.03087e-08 -90 0.0001005 179.986 5.03087e-08 -90 4.19239e-09 90
2.15443e+06 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.17318e-07 -90 0.00022 179.996 1.62441e-07 -90 0.0001005 179.954 1.62441e-07 -90 1.35367e-08 90 1.17318e-07 -90 0.00022 179.996 1.62441e-07 -90 0.0001005 179.954 1.62441e-07 -90 1.35367e-08 90 4.69273e-08 -90 0.00022 179.999 6.49762e-08 -90 0.0001005 179.981 6.49762e-08 -90 5.41468e-09 90 4.69273e-08 -90 0.00022 179.999 6.49762e-08 -90 0.0001005 179.981 6.49762e-08 -90 5.41468e-09 90
2.78256e+06 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.51522e-07 -90 0.00022 179.995 2.098e-07 -90 0.0001005 179.94 2.098e-07 -90 1.74833e-08 90 1.51522e-07 -90 0.00022 179.995 2.098e-07 -90 0.0001005 179.94 2.098e-07 -90 1.74833e-08 90 6.06089e-08 -90 0.00022 179.998 8.392e-08 -90 0.0001005 179.976 8.392e-08 -90 6.99333e-09 90 6.06089e-08 -90 0.00022 179.998 8.392e-08 -90 0.0001005 179.976 8.392e-08 -90 6.99333e-09 90
3.59381e+06 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.95699e-07 -90 0.00022 179.994 2.70967e-07 -90 0.0001005 179.923 2.70967e-07 -90 2.25806e-08 90 1.95699e-07 -90 0.00022 179.994 2.70967e-07 -90 0.0001005 179.923 2.70967e-07 -90 2.25806e-08 90 7.82794e-08 -90 0.00022 179.998 1.08387e-07 -90 0.0001005 179.969 1.08387e-07 -90 9.03224e-09 90 7.82794e-08 -90 0.00022 179.998 1.08387e-07 -90 0.0001005 179.969 1.08387e-07 -90 9.03224e-09 90
4.64159e+06 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 2.52754e-07 -90 0.00022 179.992 3.49968e-07 -90 0.0001005 179.9 3.49968e-07 -90 2.9164e-08 90 2.52754e-07 -90 0.00022 179.992 3.49968e-07 -90 0.0001005 179.9 3.49968e-07 -90 2.9164e-08 90 1.01102e-07 -90 0.00022 179.997 1.39987e-07 -90 0.0001005 179.96 1.39987e-07 -90 1.16656e-08 90 1.01102e-07 -90 0.00022 179.997 1.39987e-07 -90 0.0001005 179.96 1.39987e-07 -90 1.16656e-08 90
5.99484e+06 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 3.26445e-07 -90 0.00022 179.99 4.52e-07 -90 0.0001005 179.871 4.52e-07 -90 3.76667e-08 90 3.26445e-07 -90 0.00022 179.99 4.52e-07 -90 0.0001005 179.871 4.52e-07 -90 3.76667e-08 90 1.30578e-07 -90 0.00022 179.996 1.808e-07 -90 0.0001005 179.948 1.808e-07 -90 1.50667e-08 90 1.30578e-07 -90 0.00022 179.996 1.808e-07 -90 0.0001005 179.948 1.808e-07 -90 1.50667e-08 90
7.74264e+06 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 4.2162e-07 -90 0.00022 179.987 5.83781e-07 -90 0.0001005 179.834 5.83781e-07 -90 4.86484e-08 90 4.2162e-07 -90 0.00022 179.987 5.83781e-07 -90 0.0001005 179.834 5.83781e-07 -90 4.86484e-08 90 1.68648e-07 -90 0.00022 179.995 2.33512e-07 -90 0.0001005 179.933 2.33512e-07 -90 1.94594e-08 90 1.68648e-07 -90 0.00022 179.995 2.33512e-07 -90 0.0001005 179.933 2.33512e-07 -90 1.94594e-08 90
1e+07 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 5.44543e-07 -90 0.00022 179.984 7.53982e-07 -90 0.000100501 179.785 7.53982e-07 -90 6.28319e-08 90 5.44543e-07 -90 0.00022 179.984 7.53982e-07 -90 0.000100501 179.785 7.53982e-07 -90 6.28319e-08 90 2.17817e-07 -90 0.00022 179.993 3.01593e-07 -90 0.0001005 179.914 3.01593e-07 -90 2.51327e-08 90 2.17817e-07 -90 0.00022 179.993 3.01593e-07 -90 0.0001005 179.914 3.01593e-07 -90 2.51327e-08 90
1.29155e+07 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-07 -90 0.00022 179.979 9.73806e-07 -90 0.000100501 179.722 9.73806e-07 -90 8.11505e-08 90 7.03304e-07 -90 0.00022 179.979 9.73806e-07 -90 0.000100501 179.722 9.73806e-07 -90 8.11505e-08 90 2.81322e-07 -90 0.00022 179.992 3.89522e-07 -90 0.0001005 179.889 3.89522e-07 -90 3.24602e-08 90 2.81322e-07 -90 0.00022 179.992 3.89522e-07 -90 0.0001005 179.889 3.89522e-07 -90 3.24602e-08 90
