f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f 
0.0162975 1 45 0.994798 -5.84672 1 0 0.101868 174.153 1 90 0.0105969 179.852 0.0109081 166.132 39.0752 -43.5335 38.6657 -43.518 1 0 0.248699 84.1533 0.0258713 89.8518 1 -135 0.0254669 -95.8467 0.248699 -95.8467 0.0258713 -90.1482
0.016681 1 45 0.994552 -5.98332 1 0 0.104239 174.017 1 90 0.0111071 179.848 0.0114187 166.432 38.1775 -43.4991 37.7584 -43.4824 1 0 0.248638 84.0167 0.0264934 89.8482 1 -135 0.0260597 -95.9833 0.248638 -95.9833 0.0264934 -90.1518
0.0170735 1 45 0.994295 -6.12305 1 0 0.106664 173.877 1 90 0.0116421 179.845 0.0119541 166.726 37.3004 -43.4638 36.8714 -43.4459 1 0 0.248574 83.8769 0.0271312 89.8445 1 -135 0.026666 -96.1231 0.248574 -96.1231 0.0271312 -90.1555
0.0174753 1 45 0.994026 -6.266 1 0 0.109144 173.734 1 90 0.0122032 179.841 0.0125155 167.014 36.4434 -43.4276 36.0044 -43.4084 1 0 0.248506 83.734 0.027785 89.8408 1 -135 0.0272861 -96.266 0.248506 -96.266 0.027785 -90.1592
0.0178865 1 45 0.993744 -6.41223 1 0 0.111681 173.588 1 90 0.0127917 179.837 0.0131044 167.296 35.6062 -43.3906 35.1569 -43.3701 1 0 0.248436 83.5878 0.0284553 89.837 1 -135 0.0279203 -96.4122 0.248436 -96.4122 0.0284553 -90.163
0.0183074 1 45 0.993449 -6.56182 1 0 0.114275 173.438 1 90 0.013409 179.833 0.013722 167.571 34.7883 -43.3528 34.3284 -43.3307 1 0 0.248362 83.4382 0.0291427 89.833 1 -135 0.0285688 -96.5618 0.248362 -96.5618 0.0291427 -90.167
0.0187382 1 45 0.99314 -6.71483 1 0 0.116928 173.285 1 90 0.0140564 179.829 0.0143698 167.841 33.9892 -43.3141 33.5185 -43.2904 1 0 0.248285 83.2852 0.0298475 89.829 1 -135 0.029232 -96.7148 0.248285 -96.7148 0.0298475 -90.171
0.0191791 1 45 0.992817 -6.87134 1 0 0.11964 173.129 1 90 0.0147356 179.825 0.0150493 168.105 33.2085 -43.2744 32.7267 -43.249 1 0 0.248204 83.1287 0.0305703 89.8248 1 -135 0.0299101 -96.8713 0.248204 -96.8713 0.0305703 -90.1752
0.0196304 1 45 0.992479 -7.03143 1 0 0.122414 172.969 1 90 0.0154481 179.821 0.0157622 168.363 32.4457 -43.2338 31.9526 -43.2066 1 0 0.24812 82.9686 0.0313116 89.8206 1 -135 0.0306035 -97.0314 0.24812 -97.0314 0.0313116 -90.1794
0.0200923 1 45 0.992125 -7.19518 1 0 0.12525 172.805 1 90 0.0161955 179.816 0.01651 168.615 31.7005 -43.1923 31.1958 -43.163 1 0 0.248031 82.8048 0.0320719 89.8162 1 -135 0.0313124 -97.1952 0.248031 -97.1952 0.0320719 -90.1838
