f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f jL1m jL1f jL2m jL2f jV0500m jV0500f jV0600m jV0600f jV0700m jV0700f jV0200m jV0200f 
1.78865 0.000365942 -90.0006 0 0 4.06602e-05 89.9995 0.445697 4.14801e-06 0 0 1 0 0 0 0.00361796 180 3.65942e-09 89.9994 2.00357e-12 90 1.73107e-10 -90 1.35575e-10 90.0001 1.11424e-05 180
1.83074 0.000374553 -90.0007 0 0 4.16169e-05 89.9995 0.445697 4.24561e-06 0 0 1 0 0 0 0.00361796 180 3.74553e-09 89.9993 2.05072e-12 90 1.7718e-10 -90 1.38765e-10 90.0001 1.11424e-05 180
1.87382 0.000383366 -90.0007 0 0 4.25962e-05 89.9994 0.445697 4.34552e-06 0 0 1 0 0 0 0.00361796 180 3.83366e-09 89.9993 2.09897e-12 90 1.81349e-10 -90 1.42031e-10 90.0001 1.11424e-05 180
1.91791 0.000392387 -90.0007 0 0 4.35986e-05 89.9994 0.445697 4.44777e-06 0 0 1 0 0 0 0.00361796 180 3.92387e-09 89.9993 2.14837e-12 90 1.85617e-10 -90 1.45373e-10 90.0001 1.11424e-05 180
1.96304 0.00040162 -90.0007 0 0 4.46245e-05 89.9994 0.445697 4.55243e-06 0 0 1 0 0 0 0.00361796 180 4.0162e-09 89.9993 2.19892e-12 90 1.89984e-10 -90 1.48794e-10 90.0001 1.11424e-05 180
2.00923 0.000411071 -90.0007 0 0 4.56745e-05 89.9994 0.445697 4.65956e-06 0 0 1 0 0 0 0.00361796 180 4.11071e-09 89.9993 2.25066e-12 90 1.94455e-10 -90 1.52295e-10 90.0001 1.11424e-05 180
2.05651 0.000420744 -90.0007 0 0 4.67493e-05 89.9994 0.445697 4.7692e-06 0 0 1 0 0 0 0.00361796 180 4.20744e-09 89.9993 2.30362e-12 90 1.99031e-10 -90 1.55878e-10 90.0001 1.11424e-05 180
2.1049 0.000430644 -90.0008 0 0 4.78494e-05 89.9994 0.445697 4.88143e-06 0 0 1 0 0 0 0.00361796 180 4.30644e-09 89.9992 2.35783e-12 90 2.03714e-10 -90 1.59546e-10 90.0001 1.11424e-05 180
2.15443 0.000440778 -90.0008 0 0 4.89753e-05 89.9994 0.445697 4.99629e-06 0 0 1 0 0 0 0.00361796 180 4.40778e-09 89.9992 2.41331e-12 90 2.08508e-10 -90 1.63301e-10 90.0001 1.11424e-05 180
2.20513 0.00045115 -90.0008 0 0 5.01278e-05 89.9994 0.445697 5.11386e-06 0 0 1 0 0 0 0.00361796 180 4.5115e-09 89.9992 2.4701e-12 90 2.13414e-10 -90 1.67143e-10 90.0001 1.11424e-05 180
2.25702 0.000461766 -90.0008 0 0 5.13073e-05 89.9993 0.445697 5.23419e-06 0 0 1 0 0 0 0.00361796 180 4.61766e-09 89.9992 2.52822e-12 90 2.18436e-10 -90 1.71076e-10 90.0001 1.11424e-05 180
2.31013 0.000472632 -90.0008 0 0 5.25146e-05 89.9993 0.445697 5.35736e-06 0 0 1 0 0 0 0.00361796 180 4.72632e-09 89.9992 2.58771e-12 90 2.23576e-10 -90 1.75102e-10 90.0001 1.11424e-05 180
2.36449 0.000483753 -90.0009 0 0 5.37504e-05 89.9993 0.445697 5.48342e-06 0 0 1 0 0 0 0.00361796 180 4.83753e-09 89.9991 2.64861e-12 90 2.28837e-10 -90 1.79222e-10 90.0001 1.11424e-05 180
2.42013 0.000495136 -90.0009 0 0 5.50152e-05 89.9993 0.445697 5.61245e-06 0 0 1 0 0 0 0.00361796 180 4.95136e-09 89.9991 2.71093e-12 90 2.34222e-10 -90 1.8344e-10 90.0001 1.11424e-05 180
2.47708 0.000506787 -90.0009 0 0 5.63097e-05 89.9993 0.445697 5.74452e-06 0 0 1 0 0 0 0.00361796 180 5.06787e-09 89.9991 2.77472e-12 90 2.39733e-10 -90 1.87756e-10 90.0001 1.11424e-05 180
2.53536 0.000518713 -90.0009 0 0 5.76347e-05 89.9993 0.445697 5.87969e-06 0 0 1 0 0 0 0.00361796 180 5.18713e-09 89.9991 2.84001e-12 90 2.45374e-10 -90 1.92174e-10 90.0001 1.11424e-05 180
2.59502 0.000530918 -90.0009 0 0 5.89909e-05 89.9992 0.445697 6.01805e-06 0 0 1 0 0 0 0.00361796 180 5.30918e-09 89.9991 2.90684e-12 90 2.51148e-10 -90 1.96696e-10 90.0001 1.11424e-05 180
2.65609 0.000543412 -90.001 0 0 6.03791e-05 89.9992 0.445697 6.15966e-06 0 0 1 0 0 0 0.00361796 180 5.43412e-09 89.999 2.97524e-12 90 2.57058e-10 -90 2.01325e-10 90.0001 1.11424e-05 180
2.71859 0.000556199 -90.001 0 0 6.17998e-05 89.9992 0.445697 6.3046e-06 0 0 1 0 0 0 0.00361796 180 5.56199e-09 89.999 3.04525e-12 90 2.63107e-10 -90 2.06062e-10 90.0001 1.11424e-05 180
2.78256 0.000569287 -90.001 0 0 6.32541e-05 89.9992 0.445697 6.45296e-06 0 0 1 0 0 0 0.00361796 180 5.69287e-09 89.999 3.11691e-12 90 2.69298e-10 -90 2.10911e-10 90.0001 1.11424e-05 180
2.84804 0.000582682 -90.001 0 0 6.47425e-05 89.9992 0.445697 6.6048e-06 0 0 1 0 0 0 0.00361796 180 5.82682e-09 89.999 3.19025e-12 90 2.75635e-10 -90 2.15874e-10 90.0001 1.11424e-05 180
2.91505 0.000596394 -90.0011 0 0 6.62659e-05 89.9991 0.445697 6.76022e-06 0 0 1 0 0 0 0.00361796 180 5.96394e-09 89.9989 3.26532e-12 90 2.82121e-10 -90 2.20954e-10 90.0001 1.11424e-05 180
2.98365 0.000610427 -90.0011 0 0 6.78253e-05 89.9991 0.445697 6.91929e-06 0 0 1 0 0 0 0.00361796 180 6.10427e-09 89.9989 3.34216e-12 90 2.88759e-10 -90 2.26153e-10 90.0001 1.11424e-05 180
3.05386 0.000624791 -90.0011 0 0 6.94212e-05 89.9991 0.445697 7.08211e-06 0 0 1 0 0 0 0.00361796 180 6.24791e-09 89.9989 3.42081e-12 90 2.95554e-10 -90 2.31475e-10 90.0001 1.11424e-05 180
3.12572 0.000639493 -90.0011 0 0 7.10548e-05 89.9991 0.445697 7.24876e-06 0 0 1 0 0 0 0.00361796 180 6.39493e-09 89.9989 3.5013e-12 90 3.02509e-10 -90 2.36921e-10 90.0001 1.11424e-05 180
3.19927 0.000654541 -90.0012 0 0 7.27268e-05 89.9991 0.445697 7.41933e-06 0 0 1 0 0 0 0.00361796 180 6.54541e-09 89.9988 3.58369e-12 90 3.09627e-10 -90 2.42496e-10 90.0001 1.11424e-05 180
3.27455 0.000669943 -90.0012 0 0 7.44381e-05 89.999 0.445697 7.59392e-06 0 0 1 0 0 0 0.00361796 180 6.69943e-09 89.9988 3.66802e-12 90 3.16913e-10 -90 2.48203e-10 90.0001 1.11424e-05 180
3.3516 0.000685708 -90.0012 0 0 7.61897e-05 89.999 0.445697 7.77261e-06 0 0 1 0 0 0 0.00361796 180 6.85708e-09 89.9988 3.75433e-12 90 3.2437e-10 -90 2.54043e-10 90.0002 1.11424e-05 180
3.43047 0.000701843 -90.0012 0 0 7.79826e-05 89.999 0.445697 7.95551e-06 0 0 1 0 0 0 0.00361796 180 7.01843e-09 89.9988 3.84267e-12 90 3.32003e-10 -90 2.60021e-10 90.0002 1.11424e-05 180
3.51119 0.000718358 -90.0013 0 0 7.98176e-05 89.999 0.445697 8.14271e-06 0 0 1 0 0 0 0.00361796 180 7.18358e-09 89.9987 3.9331e-12 90 3.39816e-10 -90 2.66139e-10 90.0002 1.11424e-05 180
3.59381 0.000735262 -90.0013 0 0 8.16958e-05 89.9989 0.445697 8.33431e-06 0 0 1 0 0 0 0.00361796 180 7.35262e-09 89.9987 4.02565e-12 90 3.47812e-10 -90 2.72402e-10 90.0002 1.11424e-05 180
3.67838 0.000752563 -90.0013 0 0 8.36181e-05 89.9989 0.445697 8.53043e-06 0 0 1 0 0 0 0.00361796 180 7.52563e-09 89.9987 4.12037e-12 90 3.55996e-10 -90 2.78812e-10 90.0002 1.11424e-05 180
3.76494 0.000770272 -90.0014 0 0 8.55858e-05 89.9989 0.445697 8.73116e-06 0 0 1 0 0 0 0.00361796 180 7.70272e-09 89.9986 4.21733e-12 90 3.64373e-10 -90 2.85373e-10 90.0002 1.11424e-05 180
3.85353 0.000788397 -90.0014 0 0 8.75997e-05 89.9989 0.445697 8.93661e-06 0 0 1 0 0 0 0.00361796 180 7.88397e-09 89.9986 4.31657e-12 90 3.72947e-10 -90 2.92088e-10 90.0002 1.11424e-05 180
3.94421 0.000806949 -90.0014 0 0 8.9661e-05 89.9988 0.445697 9.1469e-06 0 0 1 0 0 0 0.00361796 180 8.06949e-09 89.9986 4.41814e-12 90 3.81723e-10 -90 2.98961e-10 90.0002 1.11424e-05 180
4.03702 0.000825937 -90.0015 0 0 9.17708e-05 89.9988 0.445697 9.36214e-06 0 0 1 0 0 0 0.00361796 180 8.25937e-09 89.9985 4.5221e-12 90 3.90705e-10 -90 3.05996e-10 90.0002 1.11424e-05 180
4.13201 0.000845372 -90.0015 0 0 9.39303e-05 89.9988 0.445697 9.58244e-06 0 0 1 0 0 0 0.00361796 180 8.45372e-09 89.9985 4.62851e-12 90 3.99899e-10 -90 3.13196e-10 90.0002 1.11424e-05 180
4.22924 0.000865265 -90.0015 0 0 9.61405e-05 89.9988 0.445697 9.80792e-06 0 0 1 0 0 0 0.00361796 180 8.65265e-09 89.9985 4.73743e-12 90 4.09309e-10 -90 3.20566e-10 90.0002 1.11424e-05 180
4.32876 0.000885625 -90.0016 0 0 9.84028e-05 89.9987 0.445697 1.00387e-05 0 0 1 0 0 0 0.00361796 180 8.85625e-09 89.9984 4.8489e-12 90 4.1894e-10 -90 3.28109e-10 90.0002 1.11424e-05 180
4.43062 0.000906465 -90.0016 0 0 0.000100718 89.9987 0.445697 1.02749e-05 0 0 1 0 0 0 0.00361796 180 9.06465e-09 89.9984 4.963e-12 90 4.28799e-10 -90 3.3583e-10 90.0002 1.11424e-05 180
4.53488 0.000927795 -90.0016 0 0 0.000103088 89.9987 0.445697 1.05167e-05 0 0 1 0 0 0 0.00361796 180 9.27795e-09 89.9984 5.07979e-12 90 4.38889e-10 -90 3.43732e-10 90.0002 1.11424e-05 180
4.64159 0.000949627 -90.0017 0 0 0.000105514 89.9986 0.445697 1.07642e-05 0 0 1 0 0 0 0.00361796 180 9.49627e-09 89.9983 5.19932e-12 90 4.49216e-10 -90 3.51821e-10 90.0002 1.11424e-05 180
4.75081 0.000971973 -90.0017 0 0 0.000107997 89.9986 0.445697 1.10175e-05 0 0 1 0 0 0 0.00361796 180 9.71973e-09 89.9983 5.32167e-12 90 4.59787e-10 -90 3.60099e-10 90.0002 1.11424e-05 180
4.8626 0.000994844 -90.0018 0 0 0.000110538 89.9986 0.445697 1.12767e-05 0 0 1 0 0 0 0.00361796 180 9.94844e-09 89.9982 5.44689e-12 90 4.70606e-10 -90 3.68573e-10 90.0002 1.11424e-05 180
4.97702 0.00101825 -90.0018 0 0 0.000113139 89.9985 0.445697 1.15421e-05 0 0 1 0 0 0 0.00361796 180 1.01825e-08 89.9982 5.57506e-12 90 4.8168e-10 -90 3.77246e-10 90.0002 1.11424e-05 180
5.09414 0.00104221 -90.0018 0 0 0.000115802 89.9985 0.445697 1.18137e-05 0 0 1 0 0 0 0.00361796 180 1.04221e-08 89.9982 5.70625e-12 90 4.93014e-10 -90 3.86123e-10 90.0002 1.11424e-05 179.999
5.21401 0.00106674 -90.0019 0 0 0.000118527 89.9985 0.445697 1.20917e-05 0 0 1 0 0 0 0.00361796 180 1.06674e-08 89.9981 5.84052e-12 90 5.04615e-10 -90 3.95209e-10 90.0002 1.11424e-05 179.999
5.3367 0.00109184 -90.0019 0 0 0.000121316 89.9984 0.445697 1.23762e-05 0 0 1 0 0 0 0.00361796 180 1.09184e-08 89.9981 5.97796e-12 90 5.16489e-10 -90 4.04508e-10 90.0002 1.11424e-05 179.999
