f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f 
1.87382 28345.8 179.942 0 0 0.666739 -0.0192457 0 0 0.253879 -179.943 1 0 290.614 -0.0579453 0 0 1.33492e-08 -90.0579 1.79376e-14 -89.9704 2.83458 179.942 3.54323 -0.0579462
1.91791 28345.8 179.941 0 0 0.666739 -0.0196985 0 0 0.253879 -179.942 1 0 290.614 -0.0593088 0 0 1.36634e-08 -90.0593 1.83597e-14 -89.9697 2.83458 179.941 3.54323 -0.0593097
1.96304 28345.8 179.939 0 0 0.666738 -0.0201621 0 0 0.253879 -179.941 1 0 290.614 -0.0607044 0 0 1.39849e-08 -90.0607 1.87917e-14 -89.969 2.83458 179.939 3.54323 -0.0607053
2.00923 28345.8 179.938 0 0 0.666738 -0.0206365 0 0 0.253879 -179.939 1 0 290.614 -0.0621329 0 0 1.43139e-08 -90.0621 1.92339e-14 -89.9682 2.83458 179.938 3.54323 -0.0621338
2.05651 28345.8 179.936 0 0 0.666738 -0.0211221 0 0 0.253879 -179.938 1 0 290.614 -0.0635949 0 0 1.46508e-08 -90.0636 1.96865e-14 -89.9675 2.83458 179.936 3.54323 -0.0635959
2.1049 28345.8 179.935 0 0 0.666738 -0.0216191 0 0 0.253879 -179.936 1 0 290.614 -0.0650914 0 0 1.49955e-08 -90.0651 2.01498e-14 -89.9667 2.83458 179.935 3.54323 -0.0650923
2.15443 28345.8 179.933 0 0 0.666738 -0.0221278 0 0 0.253879 -179.935 1 0 290.614 -0.066623 0 0 1.53484e-08 -90.0666 2.06239e-14 -89.966 2.83458 179.933 3.54323 -0.066624
2.20513 28345.8 179.932 0 0 0.666738 -0.0226485 0 0 0.253879 -179.933 1 0 290.614 -0.0681907 0 0 1.57095e-08 -90.0682 2.11092e-14 -89.9652 2.83458 179.932 3.54323 -0.0681918
2.25702 28345.8 179.93 0 0 0.666738 -0.0231815 0 0 0.253879 -179.932 1 0 290.614 -0.0697953 0 0 1.60792e-08 -90.0698 2.16059e-14 -89.9643 2.83458 179.93 3.54323 -0.0697964
2.31013 28345.8 179.929 0 0 0.666738 -0.023727 0 0 0.253879 -179.93 1 0 290.614 -0.0714377 0 0 1.64576e-08 -90.0714 2.21143e-14 -89.9635 2.83458 179.929 3.54323 -0.0714388
2.36449 28345.8 179.927 0 0 0.666738 -0.0242853 0 0 0.253879 -179.928 1 0 290.614 -0.0731187 0 0 1.68448e-08 -90.0731 2.26347e-14 -89.9626 2.83458 179.927 3.54323 -0.0731198
2.42013 28345.8 179.925 0 0 0.666738 -0.0248567 0 0 0.253879 -179.927 1 0 290.614 -0.0748392 0 0 1.72412e-08 -90.0748 2.31673e-14 -89.9618 2.83458 179.925 3.54323 -0.0748404
2.47708 28345.8 179.923 0 0 0.666738 -0.0254416 0 0 0.253879 -179.925 1 0 290.614 -0.0766003 0 0 1.76469e-08 -90.0766 2.37125e-14 -89.9609 2.83458 179.923 3.54323 -0.0766014
2.53536 28345.8 179.922 0 0 0.666738 -0.0260403 0 0 0.253879 -179.923 1 0 290.614 -0.0784028 0 0 1.80621e-08 -90.0784 2.42705e-14 -89.9599 2.83458 179.922 3.54323 -0.0784039
2.59502 28345.8 179.92 0 0 0.666738 -0.0266531 0 0 0.253879 -179.921 1 0 290.614 -0.0802477 0 0 1.84872e-08 -90.0802 2.48416e-14 -89.959 2.83458 179.92 3.54323 -0.0802489
2.65609 28345.8 179.918 0 0 0.666738 -0.0272802 0 0 0.253879 -179.92 1 0 290.614 -0.082136 0 0 1.89222e-08 -90.0821 2.54261e-14 -89.958 2.83458 179.918 3.54323 -0.0821372
