f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
1 8.72665e-08 90 1 0 0.0034379 -179.999 1.00002 -3.40582e-08 1 0 0.00156717 9.09288e-06 0.891358 -1.63457e-08 0 0 0.00175019 -179.999 0.0015233 -179.999 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00143472 0.00171163 -179.999 0 0 0 0 0 0 2.24023e-15 90 3.82847e-18 -89.9986 4.61055e-15 -90 3.36534e-17 -89.9986 3.21408e-07 180
1.02353 8.93199e-08 90 1 0 0.0034379 -179.999 1.00002 -3.48596e-08 1 0 0.00156717 9.30685e-06 0.891358 -1.67303e-08 0 0 0.00175019 -179.999 0.0015233 -179.999 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00146848 0.00171163 -179.999 0 0 0 0 0 0 2.29294e-15 90 3.91855e-18 -89.9985 4.71904e-15 -90 3.44453e-17 -89.9985 3.21408e-07 180
1.04762 9.14217e-08 90 1 0 0.0034379 -179.998 1.00002 -3.56799e-08 1 0 0.00156717 9.52585e-06 0.891358 -1.7124e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00150303 0.00171163 -179.999 0 0 0 0 0 0 2.3469e-15 90 4.01076e-18 -89.9985 4.83009e-15 -90 3.52558e-17 -89.9985 3.21408e-07 180
1.07227 9.3573e-08 90 1 0 0.0034379 -179.998 1.00002 -3.65195e-08 1 0 0.00156717 9.75e-06 0.891358 -1.75269e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.0015384 0.00171163 -179.998 0 0 0 0 0 0 2.40212e-15 90 4.10514e-18 -89.9985 4.94374e-15 -90 3.60854e-17 -89.9985 3.21408e-07 180
1.0975 9.57748e-08 90 1 0 0.0034379 -179.998 1.00002 -3.73788e-08 1 0 0.00156717 9.97943e-06 0.891358 -1.79394e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.0015746 0.00171163 -179.998 0 0 0 0 0 0 2.45865e-15 90 4.20174e-18 -89.9984 5.06007e-15 -90 3.69345e-17 -89.9984 3.21408e-07 180
1.12332 9.80285e-08 90 1 0 0.0034379 -179.998 1.00002 -3.82584e-08 1 0 0.00156717 1.02143e-05 0.891358 -1.83615e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00161165 0.00171163 -179.998 0 0 0 0 0 0 2.5165e-15 90 4.30061e-18 -89.9984 5.17914e-15 -90 3.78036e-17 -89.9984 3.21408e-07 180
1.14976 1.00335e-07 90 1 0 0.0034379 -179.998 1.00002 -3.91587e-08 1 0 0.00156717 1.04546e-05 0.891358 -1.87936e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00164958 0.00171163 -179.998 0 0 0 0 0 0 2.57572e-15 90 4.40181e-18 -89.9984 5.30101e-15 -90 3.86932e-17 -89.9984 3.21408e-07 180
1.17681 1.02696e-07 90 1 0 0.0034379 -179.998 1.00002 -4.00801e-08 1 0 0.00156717 1.07006e-05 0.891358 -1.92358e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00168839 0.00171163 -179.998 0 0 0 0 0 0 2.63632e-15 90 4.50539e-18 -89.9983 5.42575e-15 -90 3.96037e-17 -89.9983 3.21408e-07 180
1.2045 1.05113e-07 90 1 0 0.0034379 -179.998 1.00002 -4.10232e-08 1 0 0.00156717 1.09524e-05 0.891358 -1.96884e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00172812 0.00171163 -179.998 0 0 0 0 0 0 2.69836e-15 90 4.6114e-18 -89.9983 5.55343e-15 -90 4.05356e-17 -89.9983 3.21408e-07 180
1.23285 1.07586e-07 90 1 0 0.0034379 -179.998 1.00002 -4.19886e-08 1 0 0.00156717 1.12101e-05 0.891358 -2.01517e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00176879 0.00171163 -179.998 0 0 0 0 0 0 2.76186e-15 90 4.71991e-18 -89.9982 5.6841e-15 -90 4.14894e-17 -89.9982 3.21408e-07 180
1.26186 1.10118e-07 90 1 0 0.0034379 -179.998 1.00002 -4.29766e-08 1 0 0.00156717 1.14739e-05 0.891358 -2.06259e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00181041 0.00171163 -179.998 0 0 0 0 0 0 2.82684e-15 90 4.83098e-18 -89.9982 5.81786e-15 -90 4.24657e-17 -89.9982 3.21408e-07 180
1.29155 1.12709e-07 90 1 0 0.0034379 -179.998 1.00002 -4.39879e-08 1 0 0.00156717 1.17439e-05 0.891358 -2.11112e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00185301 0.00171163 -179.998 0 0 0 0 0 0 2.89336e-15 90 4.94465e-18 -89.9981 5.95476e-15 -90 4.3465e-17 -89.9981 3.21408e-07 180
1.32194 1.15361e-07 90 1 0 0.0034379 -179.998 1.00002 -4.50229e-08 1 0 0.00156717 1.20203e-05 0.891358 -2.1608e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00189661 0.00171163 -179.998 0 0 0 0 0 0 2.96145e-15 90 5.06101e-18 -89.9981 6.09488e-15 -90 4.44878e-17 -89.9981 3.21408e-07 180
1.35305 1.18076e-07 90 1 0 0.0034379 -179.998 1.00002 -4.60824e-08 1 0 0.00156717 1.23031e-05 0.891358 -2.21165e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00194124 0.00171163 -179.998 0 0 0 0 0 0 3.03113e-15 90 5.1801e-18 -89.9981 6.2383e-15 -90 4.55346e-17 -89.9981 3.21408e-07 180
1.38489 1.20854e-07 90 1 0 0.0034379 -179.998 1.00002 -4.71668e-08 1 0 0.00156717 1.25926e-05 0.891358 -2.26369e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00198692 0.00171163 -179.998 0 0 0 0 0 0 3.10246e-15 90 5.30199e-18 -89.998 6.38509e-15 -90 4.66061e-17 -89.998 3.21408e-07 180
1.41747 1.23698e-07 90 1 0 0.0034379 -179.998 1.00002 -4.82766e-08 1 0 0.00156717 1.28889e-05 0.891358 -2.31696e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00203367 0.00171163 -179.998 0 0 0 0 0 0 3.17546e-15 90 5.42675e-18 -89.998 6.53534e-15 -90 4.77028e-17 -89.998 3.21408e-07 180
1.45083 1.26609e-07 90 1 0 0.0034379 -179.998 1.00002 -4.94126e-08 1 0 0.00156717 1.31922e-05 0.891358 -2.37148e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00208153 0.00171163 -179.998 0 0 0 0 0 0 3.25018e-15 90 5.55445e-18 -89.9979 6.68912e-15 -90 4.88253e-17 -89.9979 3.21408e-07 180
1.48497 1.29588e-07 90 1 0 0.0034379 -179.998 1.00002 -5.05754e-08 1 0 0.00156717 1.35026e-05 0.891358 -2.42728e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00213051 0.00171163 -179.998 0 0 0 0 0 0 3.32666e-15 90 5.68515e-18 -89.9979 6.84652e-15 -90 4.99742e-17 -89.9979 3.21408e-07 180
1.51991 1.32637e-07 90 1 0 0.0034379 -179.998 1.00002 -5.17655e-08 1 0 0.00156717 1.38204e-05 0.891358 -2.4844e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00218064 0.00171163 -179.998 0 0 0 0 0 0 3.40494e-15 90 5.81893e-18 -89.9978 7.00763e-15 -90 5.11501e-17 -89.9978 3.21408e-07 180
1.55568 1.35758e-07 90 1 0 0.0034379 -179.998 1.00002 -5.29835e-08 1 0 0.00156717 1.41456e-05 0.891358 -2.54286e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00223195 0.00171163 -179.998 0 0 0 0 0 0 3.48507e-15 90 5.95585e-18 -89.9978 7.17252e-15 -90 5.23537e-17 -89.9978 3.21408e-07 180
1.59228 1.38953e-07 90 1 0 0.0034379 -179.998 1.00002 -5.42303e-08 1 0 0.00156717 1.44784e-05 0.891358 -2.60269e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00228447 0.00171163 -179.998 0 0 0 0 0 0 3.56707e-15 90 6.096e-18 -89.9977 7.3413e-15 -90 5.35857e-17 -89.9977 3.21408e-07 180
1.62975 1.42223e-07 90 1 0 0.0034379 -179.998 1.00002 -5.55064e-08 1 0 0.00156717 1.48191e-05 0.891358 -2.66394e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00233823 0.00171163 -179.998 0 0 0 0 0 0 3.65101e-15 90 6.23945e-18 -89.9977 7.51405e-15 -90 5.48466e-17 -89.9977 3.21408e-07 180
1.6681 1.45569e-07 90 1 0 0.0034379 -179.998 1.00002 -5.68125e-08 1 0 0.00156717 1.51678e-05 0.891358 -2.72662e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00239325 0.00171163 -179.998 0 0 0 0 0 0 3.73692e-15 90 6.38627e-18 -89.9976 7.69086e-15 -90 5.61372e-17 -89.9976 3.21408e-07 180
1.70735 1.48995e-07 90 1 0 0.0034379 -179.998 1.00002 -5.81494e-08 1 0 0.00156717 1.55248e-05 0.891358 -2.79078e-08 0 0 0.00175019 -179.998 0.0015233 -179.998 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00244957 0.00171163 -179.998 0 0 0 0 0 0 3.82486e-15 90 6.53654e-18 -89.9976 7.87184e-15 -90 5.74582e-17 -89.9976 3.21408e-07 180
1.74753 1.52501e-07 90 1 0 0.0034379 -179.997 1.00002 -5.95177e-08 1 0 0.00156717 1.58901e-05 0.891358 -2.85645e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00250721 0.00171163 -179.997 0 0 0 0 0 0 3.91486e-15 90 6.69035e-18 -89.9975 8.05707e-15 -90 5.88102e-17 -89.9975 3.21408e-07 180
1.78865 1.56089e-07 90 1 0 0.0034379 -179.997 1.00002 -6.09182e-08 1 0 0.00156717 1.6264e-05 0.891358 -2.92367e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00256621 0.00171163 -179.997 0 0 0 0 0 0 4.00698e-15 90 6.84779e-18 -89.9974 8.24666e-15 -90 6.01941e-17 -89.9974 3.21408e-07 180
1.83074 1.59762e-07 90 1 0 0.0034379 -179.997 1.00002 -6.23517e-08 1 0 0.00156717 1.66467e-05 0.891358 -2.99246e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00262659 0.00171163 -179.997 0 0 0 0 0 0 4.10127e-15 90 7.00892e-18 -89.9974 8.44071e-15 -90 6.16105e-17 -89.9974 3.21408e-07 180
1.87382 1.63521e-07 90 1 0 0.0034379 -179.997 1.00002 -6.38189e-08 1 0 0.00156717 1.70384e-05 0.891358 -3.06288e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.0026884 0.00171163 -179.997 0 0 0 0 0 0 4.19777e-15 90 7.17385e-18 -89.9973 8.63933e-15 -90 6.30603e-17 -89.9973 3.21408e-07 180
1.91791 1.67369e-07 90 1 0 0.0034379 -179.997 1.00002 -6.53206e-08 1 0 0.00156717 1.74393e-05 0.891358 -3.13495e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00275166 0.00171163 -179.997 0 0 0 0 0 0 4.29655e-15 90 7.34266e-18 -89.9972 8.84262e-15 -90 6.45441e-17 -89.9972 3.21408e-07 180
1.96304 1.71308e-07 90 1 0 0.0034379 -179.997 1.00002 -6.68577e-08 1 0 0.00156717 1.78497e-05 0.891358 -3.20872e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00281641 0.00171163 -179.997 0 0 0 0 0 0 4.39765e-15 90 7.51544e-18 -89.9972 9.0507e-15 -90 6.60629e-17 -89.9972 3.21408e-07 180
2.00923 1.75339e-07 90 1 0 0.0034379 -179.997 1.00002 -6.84309e-08 1 0 0.00156717 1.82697e-05 0.891358 -3.28423e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00288268 0.00171163 -179.997 0 0 0 0 0 0 4.50114e-15 90 7.69228e-18 -89.9971 9.26367e-15 -90 6.76174e-17 -89.9971 3.21408e-07 180
2.05651 1.79465e-07 90 1 0 0.0034379 -179.997 1.00002 -7.00411e-08 1 0 0.00156717 1.86996e-05 0.891358 -3.36151e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00295051 0.00171163 -179.997 0 0 0 0 0 0 4.60705e-15 90 7.87329e-18 -89.997 9.48165e-15 -90 6.92086e-17 -89.9971 3.21408e-07 180
2.1049 1.83688e-07 90 1 0 0.0034379 -179.997 1.00002 -7.16893e-08 1 0 0.00156717 1.91396e-05 0.891358 -3.44061e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00301994 0.00171163 -179.997 0 0 0 0 0 0 4.71546e-15 90 8.05856e-18 -89.997 9.70477e-15 -90 7.08371e-17 -89.997 3.21408e-07 180
2.15443 1.8801e-07 90 1 0 0.0034379 -179.997 1.00002 -7.33762e-08 1 0 0.00156717 1.959e-05 0.891358 -3.52157e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.003091 0.00171163 -179.997 0 0 0 0 0 0 4.82642e-15 90 8.24818e-18 -89.9969 9.93313e-15 -90 7.2504e-17 -89.9969 3.21408e-07 180
2.20513 1.92434e-07 90 1 0 0.0034379 -179.997 1.00002 -7.51028e-08 1 0 0.00156717 2.0051e-05 0.891358 -3.60443e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00316374 0.00171163 -179.997 0 0 0 0 0 0 4.93999e-15 90 8.44227e-18 -89.9968 1.01669e-14 -90 7.42101e-17 -89.9968 3.21408e-07 180
2.25702 1.96962e-07 90 1 0 0.0034379 -179.997 1.00002 -7.68701e-08 1 0 0.00156717 2.05228e-05 0.891358 -3.68925e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00323818 0.00171163 -179.997 0 0 0 0 0 0 5.05623e-15 90 8.64092e-18 -89.9968 1.04061e-14 -90 7.59563e-17 -89.9968 3.21408e-07 180
2.31013 2.01597e-07 90 1 0 0.0034379 -179.997 1.00002 -7.86789e-08 1 0 0.00156717 2.10057e-05 0.891358 -3.77606e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00331438 0.00171163 -179.997 0 0 0 0 0 0 5.17521e-15 90 8.84425e-18 -89.9967 1.0651e-14 -90 7.77436e-17 -89.9967 3.21408e-07 180
2.36449 2.06341e-07 90 1 0 0.0034379 -179.997 1.00002 -8.05303e-08 1 0 0.00156717 2.15e-05 0.891358 -3.86492e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00339237 0.00171163 -179.997 0 0 0 0 0 0 5.29699e-15 90 9.05237e-18 -89.9966 1.09016e-14 -90 7.9573e-17 -89.9966 3.21408e-07 180
2.42013 2.11196e-07 90 1 0 0.0034379 -179.997 1.00002 -8.24252e-08 1 0 0.00156717 2.20059e-05 0.891358 -3.95586e-08 0 0 0.00175019 -179.997 0.0015233 -179.997 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.0034722 0.00171163 -179.997 0 0 0 0 0 0 5.42163e-15 90 9.26538e-18 -89.9965 1.11581e-14 -90 8.14455e-17 -89.9965 3.21408e-07 180
2.47708 2.16166e-07 90 1 0 0.0034379 -179.996 1.00002 -8.43648e-08 1 0 0.00156717 2.25238e-05 0.891358 -4.04895e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.0035539 0.00171163 -179.996 0 0 0 0 0 0 5.54921e-15 90 9.4834e-18 -89.9964 1.14207e-14 -90 8.33619e-17 -89.9964 3.21408e-07 180
2.53536 2.21252e-07 90 1 0 0.0034379 -179.996 1.00002 -8.635e-08 1 0 0.00156717 2.30538e-05 0.891358 -4.14422e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00363753 0.00171163 -179.996 0 0 0 0 0 0 5.67979e-15 90 9.70656e-18 -89.9964 1.16894e-14 -90 8.53235e-17 -89.9964 3.21408e-07 180
2.59502 2.26459e-07 90 1 0 0.0034379 -179.996 1.00002 -8.83819e-08 1 0 0.00156717 2.35962e-05 0.891358 -4.24174e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00372312 0.00171163 -179.996 0 0 0 0 0 0 5.81344e-15 90 9.93496e-18 -89.9963 1.19645e-14 -90 8.73313e-17 -89.9963 3.21408e-07 180
2.65609 2.31787e-07 90 1 0 0.0034379 -179.996 1.00002 -9.04616e-08 1 0 0.00156717 2.41515e-05 0.891358 -4.34155e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00381073 0.00171163 -179.996 0 0 0 0 0 0 5.95024e-15 90 1.01687e-17 -89.9962 1.2246e-14 -90 8.93863e-17 -89.9962 3.21408e-07 180
2.71859 2.37242e-07 90 1 0 0.0034379 -179.996 1.00002 -9.25902e-08 1 0 0.00156717 2.47198e-05 0.891358 -4.44372e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.0039004 0.00171163 -179.996 0 0 0 0 0 0 6.09025e-15 90 1.0408e-17 -89.9961 1.25342e-14 -90 9.14896e-17 -89.9961 3.21408e-07 180
2.78256 2.42824e-07 90 1 0 0.0034379 -179.996 1.00002 -9.4769e-08 1 0 0.00156717 2.53015e-05 0.891358 -4.54828e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00399218 0.00171163 -179.996 0 0 0 0 0 0 6.23356e-15 90 1.06529e-17 -89.996 1.28291e-14 -90 9.36425e-17 -89.996 3.21408e-07 180
2.84804 2.48538e-07 90 1 0 0.0034379 -179.996 1.00002 -9.6999e-08 1 0 0.00156717 2.58969e-05 0.891358 -4.65531e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00408612 0.00171163 -179.996 0 0 0 0 0 0 6.38024e-15 90 1.09036e-17 -89.9959 1.3131e-14 -90 9.5846e-17 -89.9959 3.21408e-07 180
2.91505 2.54386e-07 90 1 0 0.0034379 -179.996 1.00002 -9.92815e-08 1 0 0.00156717 2.65062e-05 0.891358 -4.76485e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00418227 0.00171163 -179.996 0 0 0 0 0 0 6.53038e-15 90 1.11602e-17 -89.9958 1.344e-14 -90 9.81013e-17 -89.9958 3.21408e-07 180
2.98365 2.60372e-07 90 1 0 0.0034379 -179.996 1.00002 -1.01618e-07 1 0 0.00156717 2.71299e-05 0.891358 -4.87697e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00428069 0.00171163 -179.996 0 0 0 0 0 0 6.68404e-15 90 1.14228e-17 -89.9957 1.37563e-14 -90 1.0041e-16 -89.9957 3.21408e-07 180
3.05386 2.66499e-07 90 1 0 0.0034379 -179.996 1.00002 -1.04009e-07 1 0 0.00156717 2.77683e-05 0.891358 -4.99173e-08 0 0 0.00175019 -179.996 0.0015233 -179.996 0 0 0.00155501 -180 1 0 0.00155489 180 0.0017366 0.00438142 0.00171163 -179.996 0 0 0 0 0 0 6.84133e-15 90 1.16916e-17 -89.9956 1.408e-14 -90 1.02773e-16 -89.9956 3.21408e-07 180
