t 1 2 3 4 5 jL0300 
185.4 -0.642286 -2.78751 -0.642286 -2.78751 -0.961909 -0.961909
185.5 -0.657764 -2.87922 -0.657764 -2.87922 -1.02693 -1.02693
185.6 -0.670713 -2.96964 -0.670713 -2.96964 -1.09338 -1.09338
185.7 -0.681059 -3.05838 -0.681059 -3.05838 -1.16099 -1.16099
185.8 -0.688742 -3.14508 -0.688742 -3.14508 -1.2295 -1.2295
185.9 -0.693707 -3.22937 -0.693707 -3.22937 -1.29864 -1.29864
186 -0.695914 -3.31089 -0.695914 -3.31089 -1.36815 -1.36815
186.1 -0.695331 -3.38929 -0.695331 -3.38929 -1.43773 -1.43773
186.2 -0.691938 -3.46423 -0.691938 -3.46423 -1.50712 -1.50712
186.3 -0.685727 -3.53537 -0.685727 -3.53537 -1.57603 -1.57603
186.4 -0.676699 -3.60241 -0.676699 -3.60241 -1.64417 -1.64417
186.5 -0.664869 -3.66503 -0.664869 -3.66503 -1.71127 -1.71127
186.6 -0.650262 -3.72295 -0.650262 -3.72295 -1.77705 -1.77705
186.7 -0.632914 -3.77589 -0.632914 -3.77589 -1.84124 -1.84124
186.8 -0.612874 -3.82361 -0.612874 -3.82361 -1.90355 -1.90355
186.9 -0.5902 -3.86587 -0.5902 -3.86587 -1.96372 -1.96372
187 -0.564963 -3.90246 -0.564963 -3.90246 -2.0215 -2.0215
187.1 -0.537245 -3.93317 -0.537245 -3.93317 -2.07663 -2.07663
187.2 -0.507136 -3.95785 -0.507136 -3.95785 -2.12887 -2.12887
187.3 -0.47474 -3.97634 -0.47474 -3.97634 -2.17798 -2.17798
187.4 -0.440169 -3.98852 -0.440169 -3.98852 -2.22375 -2.22375
187.5 -0.403544 -3.99428 -0.403544 -3.99428 -2.26595 -2.26595
187.6 -0.364997 -3.99356 -0.364997 -3.99356 -2.30439 -2.30439
187.7 -0.324668 -3.98631 -0.324668 -3.98631 -2.33889 -2.33889
187.8 -0.282706 -3.97249 -0.282706 -3.97249 -2.36927 -2.36927
187.9 -0.239266 -3.95213 -0.239266 -3.95213 -2.39539 -2.39539
188 -0.194512 -3.92523 -0.194512 -3.92523 -2.41709 -2.41709
188.1 -0.148614 -3.89186 -0.148614 -3.89186 -2.43425 -2.43425
188.2 -0.101748 -3.85211 -0.101748 -3.85211 -2.44678 -2.44678
188.3 -0.0540956 -3.80608 -0.0540956 -3.80608 -2.45458 -2.45458
188.4 -0.00584195 -3.75391 -0.00584195 -3.75391 -2.45758 -2.45758
188.5 0.0428227 -3.69575 0.0428227 -3.69575 -2.45573 -2.45573
188.6 0.0917053 -3.6318 0.0917053 -3.6318 -2.44901 -2.44901
188.7 0.140611 -3.56227 0.140611 -3.56227 -2.43739 -2.43739
188.8 0.189341 -3.48739 0.189341 -3.48739 -2.42089 -2.42089
188.9 0.237699 -3.40741 0.237699 -3.40741 -2.39954 -2.39954
189 0.285487 -3.32264 0.285487 -3.32264 -2.37337 -2.37337
189.1 0.332506 -3.23335 0.332506 -3.23335 -2.34247 -2.34247
189.2 0.378562 -3.13989 0.378562 -3.13989 -2.30691 -2.30691
189.3 0.42346 -3.0426 0.42346 -3.0426 -2.2668 -2.2668
189.4 0.46701 -2.94182 0.46701 -2.94182 -2.22226 -2.22226
189.5 0.509026 -2.83796 0.509026 -2.83796 -2.17345 -2.17345
189.6 0.549326 -2.73139 0.549326 -2.73139 -2.12051 -2.12051
189.7 0.587734 -2.62252 0.587734 -2.62252 -2.06365 -2.06365
189.8 0.624079 -2.51179 0.624079 -2.51179 -2.00304 -2.00304
189.9 0.658198 -2.39961 0.658198 -2.39961 -1.93891 -1.93891
190 0.689935 -2.28643 0.689935 -2.28643 -1.87148 -1.87148
190.1 0.719145 -2.17271 0.719145 -2.17271 -1.801 -1.801
190.2 0.745687 -2.05888 0.745687 -2.05888 -1.72774 -1.72774
190.3 0.769435 -1.94542 0.769435 -1.94542 -1.65196 -1.65196
190.4 0.790269 -1.83278 0.790269 -1.83278 -1.57395 -1.57395
190.5 0.808082 -1.72142 0.808082 -1.72142 -1.49401 -1.49401
190.6 0.822778 -1.6118 0.822778 -1.6118 -1.41244 -1.41244
190.7 0.834273 -1.50438 0.834273 -1.50438 -1.32956 -1.32956
190.8 0.842495 -1.39961 0.842495 -1.39961 -1.24569 -1.24569
190.9 0.847384 -1.29794 0.847384 -1.29794 -1.16117 -1.16117
191 0.848894 -1.19979 0.848894 -1.19979 -1.07633 -1.07633
191.1 0.846991 -1.1056 0.846991 -1.1056 -0.991508 -0.991508
191.2 0.841656 -1.01577 0.841656 -1.01577 -0.907047 -0.907047
191.3 0.832945 -0.927842 0.832945 -0.927842 -0.823289 -0.823289
191.4 0.821131 -0.836963 0.821131 -0.836963 -0.740559 -0.740559
191.5 0.806666 -0.743018 0.806666 -0.743018 -0.659147 -0.659147
191.6 0.789973 -0.646383 0.789973 -0.646383 -0.579297 -0.579297
191.7 0.771463 -0.547257 0.771463 -0.547257 -0.50121 -0.50121
191.8 0.751532 -0.44578 0.751532 -0.44578 -0.425048 -0.425048
191.9 0.730565 -0.342031 0.730565 -0.342031 -0.350935 -0.350935
192 0.708935 -0.236027 0.708935 -0.236027 -0.278954 -0.278954
192.1 0.687004 -0.127722 0.687004 -0.127722 -0.209155 -0.209155
192.2 0.665119 -0.0170076 0.665119 -0.0170076 -0.141549 -0.141549
192.3 0.643621 0.0962945 0.643621 0.0962945 -0.0761153 -0.0761153
192.4 0.622836 0.212429 0.622836 0.212429 -0.0127984 -0.0127984
192.5 0.603084 0.33171 0.603084 0.33171 0.048489 0.048489
192.6 0.584674 0.454529 0.584674 0.454529 0.107866 0.107866
192.7 0.56791 0.581348 0.56791 0.581348 0.165481 0.165481
192.8 0.55309 0.712712 0.55309 0.712712 0.221515 0.221515
192.9 0.540507 0.849247 0.540507 0.849247 0.276176 0.276176
193 0.530451 0.991668 0.530451 0.991668 0.329703 0.329703
193.1 0.523092 1.13519 0.523092 1.13519 0.382358 0.382358
193.2 0.518219 1.27134 0.518219 1.27134 0.434403 0.434403
193.3 0.515363 1.40135 0.515363 1.40135 0.486065 0.486065
193.4 0.514152 1.52584 0.514152 1.52584 0.537527 0.537527
193.5 0.514243 1.64527 0.514243 1.64527 0.588936 0.588936
193.6 0.515321 1.76004 0.515321 1.76004 0.640406 0.640406
193.7 0.517094 1.87046 0.517094 1.87046 0.692021 0.692021
193.8 0.519293 1.97681 0.519293 1.97681 0.743837 0.743837
193.9 0.521673 2.0793 0.521673 2.0793 0.795883 0.795883
194 0.524007 2.17809 0.524007 2.17809 0.848168 0.848168
194.1 0.52609 2.27331 0.52609 2.27331 0.900675 0.900675
194.2 0.527732 2.36504 0.527732 2.36504 0.953369 0.953369
194.3 0.528764 2.45333 0.528764 2.45333 1.0062 1.0062
194.4 0.52903 2.5382 0.52903 2.5382 1.0591 1.0591
194.5 0.528394 2.61966 0.528394 2.61966 1.11197 1.11197
194.6 0.526731 2.69767 0.526731 2.69767 1.16474 1.16474
194.7 0.523934 2.7722 0.523934 2.7722 1.21728 1.21728
194.8 0.519907 2.84319 0.519907 2.84319 1.26948 1.26948
194.9 0.514569 2.91056 0.514569 2.91056 1.32122 1.32122
195 0.507853 2.97424 0.507853 2.97424 1.37235 1.37235
195.1 0.499703 3.03414 0.499703 3.03414 1.42274 1.42274
195.2 0.490076 3.09017 0.490076 3.09017 1.47224 1.47224
195.3 0.478941 3.14224 0.478941 3.14224 1.52071 1.52071
195.4 0.466278 3.19024 0.466278 3.19024 1.56798 1.56798
195.5 0.452078 3.2341 0.452078 3.2341 1.61391 1.61391
195.6 0.436343 3.27371 0.436343 3.27371 1.65834 1.65834
195.7 0.419086 3.30899 0.419086 3.30899 1.70113 1.70113
195.8 0.400328 3.33987 0.400328 3.33987 1.74211 1.74211
195.9 0.380103 3.36628 0.380103 3.36628 1.78114 1.78114
196 0.358449 3.38814 0.358449 3.38814 1.81808 1.81808
196.1 0.335419 3.40541 0.335419 3.40541 1.85279 1.85279
196.2 0.31107 3.41805 0.31107 3.41805 1.88512 1.88512
196.3 0.285469 3.42603 0.285469 3.42603 1.91496 1.91496
196.4 0.25869 3.42933 0.25869 3.42933 1.94218 1.94218
196.5 0.230813 3.42795 0.230813 3.42795 1.96666 1.96666
196.6 0.201928 3.4219 0.201928 3.4219 1.98831 1.98831
196.7 0.172129 3.41121 0.172129 3.41121 2.00702 2.00702
196.8 0.141515 3.39592 0.141515 3.39592 2.02271 2.02271
196.9 0.110193 3.37609 0.110193 3.37609 2.0353 2.0353
197 0.0782716 3.35178 0.0782716 3.35178 2.04473 2.04473
197.1 0.0458665 3.3231 0.0458665 3.3231 2.05094 2.05094
197.2 0.0130958 3.29013 0.0130958 3.29013 2.05389 2.05389
197.3 -0.019919 3.25301 -0.019919 3.25301 2.05355 2.05355
197.4 -0.0530535 3.21187 -0.0530535 3.21187 2.0499 2.0499
197.5 -0.0861814 3.16685 -0.0861814 3.16685 2.04294 2.04294
197.6 -0.119175 3.11813 -0.119175 3.11813 2.03267 2.03267
197.7 -0.151904 3.06589 -0.151904 3.06589 2.01912 2.01912
197.8 -0.18424 3.01032 -0.18424 3.01032 2.00231 2.00231
197.9 -0.216053 2.95163 -0.216053 2.95163 1.98229 1.98229
198 -0.247215 2.89004 -0.247215 2.89004 1.95912 1.95912
198.1 -0.277598 2.82579 -0.277598 2.82579 1.93287 1.93287
198.2 -0.307075 2.75913 -0.307075 2.75913 1.90363 1.90363
198.3 -0.335525 2.6903 -0.335525 2.6903 1.87149 1.87149
198.4 -0.362826 2.61959 -0.362826 2.61959 1.83656 1.83656
198.5 -0.388861 2.54727 -0.388861 2.54727 1.79897 1.79897
198.6 -0.413517 2.47361 -0.413517 2.47361 1.75884 1.75884
198.7 -0.436686 2.39891 -0.436686 2.39891 1.71632 1.71632
198.8 -0.458263 2.32348 -0.458263 2.32348 1.67156 1.67156
198.9 -0.478151 2.24761 -0.478151 2.24761 1.62472 1.62472
199 -0.496256 2.1716 -0.496256 2.1716 1.57599 1.57599
199.1 -0.512493 2.09578 -0.512493 2.09578 1.52553 1.52553
199.2 -0.526783 2.02044 -0.526783 2.02044 1.47355 1.47355
199.3 -0.539053 1.9459 -0.539053 1.9459 1.42024 1.42024
199.4 -0.549238 1.87247 -0.549238 1.87247 1.36581 1.36581
199.5 -0.557281 1.80046 -0.557281 1.80046 1.31047 1.31047
199.6 -0.563134 1.73017 -0.563134 1.73017 1.25443 1.25443
199.7 -0.566756 1.66189 -0.566756 1.66189 1.19792 1.19792
199.8 -0.568115 1.59593 -0.568115 1.59593 1.14115 1.14115
199.9 -0.567187 1.53257 -0.567187 1.53257 1.08437 1.08437
200 -0.56396 1.47208 -0.56396 1.47208 1.02779 1.02779
200.1 -0.558427 1.41474 -0.558427 1.41474 0.971655 0.971655
200.2 -0.550593 1.3608 -0.550593 1.3608 0.916185 0.916185
200.3 -0.540471 1.31051 -0.540471 1.31051 0.861613 0.861613
200.4 -0.528085 1.2641 -0.528085 1.2641 0.808166 0.808166
200.5 -0.513466 1.22179 -0.513466 1.22179 0.75607 0.75607
200.6 -0.496656 1.18379 -0.496656 1.18379 0.705545 0.705545
200.7 -0.477705 1.15029 -0.477705 1.15029 0.656809 0.656809
200.8 -0.456673 1.12144 -0.456673 1.12144 0.610073 0.610073
200.9 -0.433627 1.09742 -0.433627 1.09742 0.565541 0.565541
201 -0.408645 1.07836 -0.408645 1.07836 0.523412 0.523412
201.1 -0.381813 1.06437 -0.381813 1.06437 0.483873 0.483873
201.2 -0.353224 1.05555 -0.353224 1.05555 0.447107 0.447107
201.3 -0.322979 1.05198 -0.322979 1.05198 0.413283 0.413283
201.4 -0.291186 1.05371 -0.291186 1.05371 0.382562 0.382562
201.5 -0.257963 1.06078 -0.257963 1.06078 0.355092 0.355092
201.6 -0.223432 1.07322 -0.223432 1.07322 0.331012 0.331012
201.7 -0.187721 1.091 -0.187721 1.091 0.310444 0.310444
201.8 -0.150965 1.1141 -0.150965 1.1141 0.293501 0.293501
201.9 -0.113305 1.14247 -0.113305 1.14247 0.28028 0.28028
202 -0.0748839 1.17604 -0.0748839 1.17604 0.270864 0.270864
202.1 -0.0358521 1.21471 -0.0358521 1.21471 0.265323 0.265323
202.2 0.00363829 1.25838 0.00363829 1.25838 0.263708 0.263708
202.3 0.0434315 1.3069 0.0434315 1.3069 0.266059 0.266059
202.4 0.0833695 1.36011 0.0833695 1.36011 0.272398 0.272398
202.5 0.123292 1.41785 0.123292 1.41785 0.282731 0.282731
202.6 0.163038 1.47991 0.163038 1.47991 0.297049 0.297049
202.7 0.202446 1.54608 0.202446 1.54608 0.315326 0.315326
202.8 0.241354 1.61612 0.241354 1.61612 0.33752 0.33752
202.9 0.279601 1.68979 0.279601 1.68979 0.363574 0.363574
203 0.317027 1.76681 0.317027 1.76681 0.393412 0.393412
203.1 0.353475 1.8469 0.353475 1.8469 0.426945 0.426945
203.2 0.38879 1.92977 0.38879 1.92977 0.464068 0.464068
203.3 0.42282 2.0151 0.42282 2.0151 0.504659 0.504659
203.4 0.455418 2.10256 0.455418 2.10256 0.548583 0.548583
203.5 0.486441 2.19182 0.486441 2.19182 0.595689 0.595689
203.6 0.51575 2.28255 0.51575 2.28255 0.645813 0.645813
203.7 0.543214 2.37437 0.543214 2.37437 0.698776 0.698776
203.8 0.568707 2.46693 0.568707 2.46693 0.754389 0.754389
203.9 0.592111 2.55986 0.592111 2.55986 0.812447 0.812447
204 0.613314 2.65279 0.613314 2.65279 0.872737 0.872737
204.1 0.632214 2.74535 0.632214 2.74535 0.935033 0.935033
204.2 0.648714 2.83716 0.648714 2.83716 0.999099 0.999099
204.3 0.66273 2.92784 0.66273 2.92784 1.06469 1.06469
204.4 0.674185 3.01702 0.674185 3.01702 1.13156 1.13156
204.5 0.683013 3.10432 0.683013 3.10432 1.19944 1.19944
204.6 0.689156 3.18939 0.689156 3.18939 1.26807 1.26807
204.7 0.692568 3.27185 0.692568 3.27185 1.33718 1.33718
204.8 0.693213 3.35135 0.693213 3.35135 1.40649 1.40649
204.9 0.691067 3.42755 0.691067 3.42755 1.47573 1.47573
205 0.686117 3.50012 0.686117 3.50012 1.54461 1.54461
205.1 0.678358 3.56873 0.678358 3.56873 1.61286 1.61286
205.2 0.667801 3.63308 0.667801 3.63308 1.68019 1.68019
205.3 0.654464 3.69287 0.654464 3.69287 1.74633 1.74633
205.4 0.638381 3.74782 0.638381 3.74782 1.81099 1.81099
205.5 0.619593 3.79768 0.619593 3.79768 1.87391 1.87391
205.6 0.598154 3.8422 0.598154 3.8422 1.93482 1.93482
205.7 0.574131 3.88115 0.574131 3.88115 1.99346 1.99346
205.8 0.547598 3.91434 0.547598 3.91434 2.04957 2.04957
205.9 0.518643 3.94159 0.518643 3.94159 2.1029 2.1029
206 0.487364 3.96274 0.487364 3.96274 2.15322 2.15322
206.1 0.453867 3.97765 0.453867 3.97765 2.2003 2.2003
206.2 0.41827 3.98622 0.41827 3.98622 2.24392 2.24392
206.3 0.3807 3.98835 0.3807 3.98835 2.28389 2.28389
206.4 0.341293 3.98399 0.341293 3.98399 2.32 2.32
206.5 0.300192 3.97311 0.300192 3.97311 2.35209 2.35209
206.6 0.25755 3.95569 0.25755 3.95569 2.37999 2.37999
206.7 0.213527 3.93176 0.213527 3.93176 2.40356 2.40356
206.8 0.168289 3.90135 0.168289 3.90135 2.42266 2.42266
206.9 0.122009 3.86454 0.122009 3.86454 2.43718 2.43718
207 0.0748648 3.82143 0.0748648 3.82143 2.44703 2.44703
207.1 0.0270402 3.77214 0.0270402 3.77214 2.45213 2.45213
207.2 -0.0212774 3.71681 -0.0212774 3.71681 2.45242 2.45242
207.3 -0.0698972 3.65563 -0.0698972 3.65563 2.44787 2.44787
207.4 -0.118625 3.58879 -0.118625 3.58879 2.43844 2.43844
207.5 -0.167266 3.51651 -0.167266 3.51651 2.42415 2.42415
207.6 -0.215623 3.43905 -0.215623 3.43905 2.405 2.405
207.7 -0.263498 3.35668 -0.263498 3.35668 2.38104 2.38104
207.8 -0.310695 3.26968 -0.310695 3.26968 2.35233 2.35233
207.9 -0.357017 3.17838 -0.357017 3.17838 2.31893 2.31893
208 -0.402271 3.0831 -0.402271 3.0831 2.28096 2.28096
208.1 -0.446265 2.9842 -0.446265 2.9842 2.23852 2.23852
208.2 -0.488812 2.88205 -0.488812 2.88205 2.19176 2.19176
208.3 -0.529729 2.77703 -0.529729 2.77703 2.14082 2.14082
208.4 -0.568837 2.66955 -0.568837 2.66955 2.08587 2.08587
208.5 -0.605965 2.56001 -0.605965 2.56001 2.02712 2.02712
208.6 -0.640946 2.44885 -0.640946 2.44885 1.96475 1.96475
208.7 -0.673623 2.3365 -0.673623 2.3365 1.899 1.899
208.8 -0.703844 2.22341 -0.703844 2.22341 1.83011 1.83011
208.9 -0.731468 2.11001 -0.731468 2.11001 1.75832 1.75832
209 -0.756364 1.99678 -0.756364 1.99678 1.68391 1.68391
209.1 -0.778408 1.88416 -0.778408 1.88416 1.60715 1.60715
209.2 -0.797488 1.77262 -0.797488 1.77262 1.52833 1.52833
209.3 -0.813505 1.66261 -0.813505 1.66261 1.44775 1.44775
209.4 -0.826369 1.55459 -0.826369 1.55459 1.36573 1.36573
209.5 -0.836002 1.44901 -0.836002 1.44901 1.28259 1.28259
209.6 -0.84234 1.34633 -0.84234 1.34633 1.19864 1.19864
209.7 -0.84533 1.24697 -0.84533 1.24697 1.11423 1.11423
209.8 -0.844934 1.15136 -0.844934 1.15136 1.02969 1.02969
209.9 -0.841127 1.05992 -0.841127 1.05992 0.945358 0.945358
210 -0.83392 0.971932 -0.83392 0.971932 0.861577 0.861577
210.1 -0.823463 0.883657 -0.823463 0.883657 0.778681 0.778681
210.2 -0.810125 0.791897 -0.810125 0.791897 0.696978 0.696978
210.3 -0.794361 0.697391 -0.794361 0.697391 0.616733 0.616733
210.4 -0.77658 0.600373 -0.77658 0.600373 0.538169 0.538169
210.5 -0.757183 0.501014 -0.757183 0.501014 0.461468 0.461468
210.6 -0.736558 0.399428 -0.736558 0.399428 0.38677 0.38677
210.7 -0.715082 0.295669 -0.715082 0.295669 0.314181 0.314181
210.8 -0.693118 0.189729 -0.693118 0.189729 0.243767 0.243767
210.9 -0.671018 0.0815356 -0.671018 0.0815356 0.175559 0.175559
211 -0.649124 -0.0290464 -0.649124 -0.0290464 0.109554 0.109554
211.1 -0.627765 -0.142219 -0.627765 -0.142219 0.0457139 0.0457139
211.2 -0.607261 -0.258253 -0.607261 -0.258253 -0.0160303 -0.0160303
211.3 -0.587923 -0.37749 -0.587923 -0.37749 -0.0757798 -0.0757798
211.4 -0.570054 -0.500344 -0.570054 -0.500344 -0.133666 -0.133666
211.5 -0.553949 -0.627306 -0.553949 -0.627306 -0.189852 -0.189852
211.6 -0.539901 -0.758945 -0.539901 -0.758945 -0.244527 -0.244527
211.7 -0.528196 -0.895916 -0.528196 -0.895916 -0.297913 -0.297913
211.8 -0.519088 -1.03741 -0.519088 -1.03741 -0.350255 -0.350255
211.9 -0.512631 -1.17744 -0.512631 -1.17744 -0.401819 -0.401819
212 -0.508526 -1.31016 -0.508526 -1.31016 -0.452857 -0.452857
212.1 -0.506324 -1.43707 -0.506324 -1.43707 -0.503584 -0.503584
212.2 -0.505669 -1.55868 -0.505669 -1.55868 -0.55417 -0.55417
212.3 -0.506228 -1.67543 -0.506228 -1.67543 -0.604755 -0.604755
212.4 -0.507695 -1.78769 -0.507695 -1.78769 -0.655444 -0.655444
212.5 -0.509787 -1.89577 -0.509787 -1.89577 -0.706313 -0.706313
212.6 -0.512244 -1.99992 -0.512244 -1.99992 -0.757411 -0.757411
212.7 -0.514828 -2.10033 -0.514828 -2.10033 -0.808764 -0.808764
212.8 -0.517318 -2.19715 -0.517318 -2.19715 -0.860372 -0.860372
212.9 -0.519516 -2.29051 -0.519516 -2.29051 -0.912216 -0.912216
213 -0.521239 -2.38046 -0.521239 -2.38046 -0.964258 -0.964258
213.1 -0.522321 -2.46706 -0.522321 -2.46706 -1.01644 -1.01644
213.2 -0.522614 -2.55032 -0.522614 -2.55032 -1.06869 -1.06869
213.3 -0.521984 -2.63022 -0.521984 -2.63022 -1.12093 -1.12093
213.4 -0.520311 -2.70675 -0.520311 -2.70675 -1.17306 -1.17306
213.5 -0.517492 -2.77984 -0.517492 -2.77984 -1.22496 -1.22496
213.6 -0.513436 -2.84945 -0.513436 -2.84945 -1.27651 -1.27651
213.7 -0.508064 -2.91549 -0.508064 -2.91549 -1.3276 -1.3276
213.8 -0.501311 -2.97789 -0.501311 -2.97789 -1.37808 -1.37808
213.9 -0.493126 -3.03655 -0.493126 -3.03655 -1.42781 -1.42781
214 -0.483468 -3.09139 -0.483468 -3.09139 -1.47665 -1.47665
214.1 -0.472307 -3.14231 -0.472307 -3.14231 -1.52446 -1.52446
214.2 -0.459626 -3.18921 -0.459626 -3.18921 -1.57106 -1.57106
214.3 -0.445419 -3.23199 -0.445419 -3.23199 -1.61633 -1.61633
214.4 -0.429688 -3.27058 -0.429688 -3.27058 -1.6601 -1.6601
214.5 -0.412448 -3.30489 -0.412448 -3.30489 -1.70222 -1.70222
214.6 -0.393722 -3.33483 -0.393722 -3.33483 -1.74254 -1.74254
214.7 -0.373544 -3.36034 -0.373544 -3.36034 -1.78091 -1.78091
214.8 -0.351955 -3.38135 -0.351955 -3.38135 -1.8172 -1.8172
214.9 -0.329007 -3.39782 -0.329007 -3.39782 -1.85126 -1.85126
215 -0.304758 -3.4097 -0.304758 -3.4097 -1.88296 -1.88296
215.1 -0.279276 -3.41697 -0.279276 -3.41697 -1.91217 -1.91217
215.2 -0.252635 -3.41962 -0.252635 -3.41962 -1.93878 -1.93878
215.3 -0.224916 -3.41763 -0.224916 -3.41763 -1.96266 -1.96266
215.4 -0.196209 -3.41103 -0.196209 -3.41103 -1.98373 -1.98373
215.5 -0.166606 -3.39984 -0.166606 -3.39984 -2.00187 -2.00187
215.6 -0.136209 -3.3841 -0.136209 -3.3841 -2.01702 -2.01702
215.7 -0.105121 -3.36388 -0.105121 -3.36388 -2.02909 -2.02909
215.8 -0.0734544 -3.33924 -0.0734544 -3.33924 -2.03803 -2.03803
215.9 -0.0413216 -3.31027 -0.0413216 -3.31027 -2.04377 -2.04377
216 -0.00884062 -3.27709 -0.00884062 -3.27709 -2.04628 -2.04628
216.1 0.0238676 -3.2398 0.0238676 -3.2398 -2.04553 -2.04553
216.2 0.0566796 -3.19856 0.0566796 -3.19856 -2.04151 -2.04151
216.3 0.0894699 -3.1535 0.0894699 -3.1535 -2.0342 -2.0342
216.4 0.122112 -3.10479 0.122112 -3.10479 -2.02362 -2.02362
216.5 0.154476 -3.05262 0.154476 -3.05262 -2.00979 -2.00979
216.6 0.186436 -2.99719 0.186436 -2.99719 -1.99274 -1.99274
216.7 0.217863 -2.93869 0.217863 -2.93869 -1.97252 -1.97252
216.8 0.248629 -2.87735 0.248629 -2.87735 -1.94919 -1.94919
216.9 0.278609 -2.8134 0.278609 -2.8134 -1.92282 -1.92282
217 0.307677 -2.7471 0.307677 -2.7471 -1.8935 -1.8935
217.1 0.335713 -2.67869 0.335713 -2.67869 -1.86132 -1.86132
217.2 0.362596 -2.60845 0.362596 -2.60845 -1.82639 -1.82639
217.3 0.388212 -2.53664 0.388212 -2.53664 -1.78884 -1.78884
217.4 0.412449 -2.46355 0.412449 -2.46355 -1.7488 -1.7488
217.5 0.4352 -2.38947 0.4352 -2.38947 -1.7064 -1.7064
217.6 0.456363 -2.3147 0.456363 -2.3147 -1.66181 -1.66181
217.7 0.475842 -2.23952 0.475842 -2.23952 -1.61519 -1.61519
217.8 0.493544 -2.16426 0.493544 -2.16426 -1.5667 -1.5667
217.9 0.509387 -2.08921 0.509387 -2.08921 -1.51654 -1.51654
218 0.523291 -2.01469 0.523291 -2.01469 -1.46489 -1.46489
218.1 0.535187 -1.94099 0.535187 -1.94099 -1.41195 -1.41195
218.2 0.545012 -1.86843 0.545012 -1.86843 -1.35792 -1.35792
218.3 0.552709 -1.79731 0.552709 -1.79731 -1.30302 -1.30302
218.4 0.558232 -1.72793 0.558232 -1.72793 -1.24745 -1.24745
218.5 0.56154 -1.66059 0.56154 -1.66059 -1.19145 -1.19145
218.6 0.562605 -1.59557 0.562605 -1.59557 -1.13522 -1.13522
218.7 0.561403 -1.53316 0.561403 -1.53316 -1.079 -1.079
218.8 0.557923 -1.47364 0.557923 -1.47364 -1.02302 -1.02302
218.9 0.552159 -1.41726 0.552159 -1.41726 -0.967494 -0.967494
219 0.544119 -1.36428 0.544119 -1.36428 -0.912661 -0.912661
219.1 0.533815 -1.31494 0.533815 -1.31494 -0.858745 -0.858745
219.2 0.521272 -1.26948 0.521272 -1.26948 -0.805972 -0.805972
219.3 0.506523 -1.2281 0.506523 -1.2281 -0.754564 -0.754564
219.4 0.489609 -1.19101 0.489609 -1.19101 -0.70474 -0.70474
219.5 0.470583 -1.1584 0.470583 -1.1584 -0.656713 -0.656713
219.6 0.449503 -1.13042 0.449503 -1.13042 -0.610691 -0.610691
219.7 0.426438 -1.10723 0.426438 -1.10723 -0.566878 -0.566878
219.8 0.401467 -1.08897 0.401467 -1.08897 -0.525466 -0.525466
219.9 0.374674 -1.07575 0.374674 -1.07575 -0.486644 -0.486644
220 0.346153 -1.06766 0.346153 -1.06766 -0.450588 -0.450588
220.1 0.316005 -1.06477 0.316005 -1.06477 -0.417467 -0.417467
220.2 0.284339 -1.06714 0.284339 -1.06714 -0.387437 -0.387437
220.3 0.251271 -1.07481 0.251271 -1.07481 -0.360645 -0.360645
220.4 0.216923 -1.08778 0.216923 -1.08778 -0.337225 -0.337225
220.5 0.181423 -1.10604 0.181423 -1.10604 -0.317298 -0.317298
220.6 0.144906 -1.12957 0.144906 -1.12957 -0.300973 -0.300973
220.7 0.10751 -1.15831 0.10751 -1.15831 -0.288345 -0.288345
220.8 0.0693796 -1.19219 0.0693796 -1.19219 -0.279494 -0.279494
220.9 0.0306625 -1.23111 0.0306625 -1.23111 -0.274487 -0.274487
221 -0.00848968 -1.27495 -0.00848968 -1.27495 -0.273375 -0.273375
221.1 -0.0479224 -1.32359 -0.0479224 -1.32359 -0.276193 -0.276193
221.2 -0.0874788 -1.37685 -0.0874788 -1.37685 -0.282962 -0.282962
221.3 -0.127 -1.43457 -0.127 -1.43457 -0.293686 -0.293686
221.4 -0.166327 -1.49655 -0.166327 -1.49655 -0.308354 -0.308354
221.5 -0.205299 -1.56256 -0.205299 -1.56256 -0.326939 -0.326939
221.6 -0.243756 -1.63238 -0.243756 -1.63238 -0.349396 -0.349396
221.7 -0.281538 -1.70576 -0.281538 -1.70576 -0.375666 -0.375666
221.8 -0.318489 -1.78243 -0.318489 -1.78243 -0.405674 -0.405674
221.9 -0.354451 -1.8621 -0.354451 -1.8621 -0.439329 -0.439329
222 -0.389272 -1.94448 -0.389272 -1.94448 -0.476525 -0.476525
222.1 -0.422803 -2.02926 -0.422803 -2.02926 -0.51714 -0.51714
222.2 -0.454898 -2.11611 -0.454898 -2.11611 -0.561037 -0.561037
222.3 -0.485415 -2.20471 -0.485415 -2.20471 -0.608065 -0.608065
222.4 -0.514219 -2.2947 -0.514219 -2.2947 -0.658061 -0.658061
222.5 -0.54118 -2.38574 -0.54118 -2.38574 -0.710847 -0.710847
222.6 -0.566174 -2.47747 -0.566174 -2.47747 -0.766231 -0.766231
222.7 -0.589085 -2.56952 -0.589085 -2.56952 -0.824011 -0.824011
222.8 -0.609804 -2.66152 -0.609804 -2.66152 -0.883974 -0.883974
222.9 -0.628229 -2.75311 -0.628229 -2.75311 -0.945894 -0.945894
223 -0.644267 -2.8439 -0.644267 -2.8439 -1.00954 -1.00954
