t 1 2 3 4 5 jL0300 
8.1 -0.513173 2.5327 -0.513173 2.5327 1.90981 1.90981
8.2 -0.542912 2.43851 -0.542912 2.43851 1.85699 1.85699
8.3 -0.570695 2.3433 -0.570695 2.3433 1.8013 1.8013
8.4 -0.596394 2.24744 -0.596394 2.24744 1.74292 1.74292
8.5 -0.61989 2.15131 -0.61989 2.15131 1.68209 1.68209
8.6 -0.641071 2.05531 -0.641071 2.05531 1.61902 1.61902
8.7 -0.659833 1.95981 -0.659833 1.95981 1.55396 1.55396
8.8 -0.676081 1.86522 -0.676081 1.86522 1.48714 1.48714
8.9 -0.68973 1.77192 -0.68973 1.77192 1.41883 1.41883
9 -0.700704 1.68029 -0.700704 1.68029 1.34929 1.34929
9.1 -0.708937 1.59073 -0.708937 1.59073 1.27878 1.27878
9.2 -0.714374 1.50361 -0.714374 1.50361 1.20759 1.20759
9.3 -0.716971 1.41929 -0.716971 1.41929 1.136 1.136
9.4 -0.716696 1.33816 -0.716696 1.33816 1.06429 1.06429
9.5 -0.713526 1.26054 -0.713526 1.26054 0.992758 0.992758
9.6 -0.70745 1.1868 -0.70745 1.1868 0.921685 0.921685
9.7 -0.698471 1.11726 -0.698471 1.11726 0.851365 0.851365
9.8 -0.686601 1.05223 -0.686601 1.05223 0.782087 0.782087
9.9 -0.671872 0.991683 -0.671872 0.991683 0.71414 0.71414
10 -0.654392 0.933397 -0.654392 0.933397 0.647804 0.647804
10.1 -0.634425 0.874606 -0.634425 0.874606 0.583342 0.583342
10.2 -0.612315 0.816101 -0.612315 0.816101 0.520987 0.520987
10.3 -0.588359 0.758251 -0.588359 0.758251 0.460938 0.460938
10.4 -0.562845 0.701388 -0.562845 0.701388 0.403365 0.403365
10.5 -0.536041 0.64582 -0.536041 0.64582 0.34841 0.34841
10.6 -0.508201 0.591824 -0.508201 0.591824 0.296189 0.296189
10.7 -0.479562 0.53965 -0.479562 0.53965 0.246795 0.246795
10.8 -0.450344 0.489523 -0.450344 0.489523 0.200294 0.200294
10.9 -0.420751 0.441646 -0.420751 0.441646 0.156737 0.156737
11 -0.390971 0.396196 -0.390971 0.396196 0.116149 0.116149
11.1 -0.361174 0.353332 -0.361174 0.353332 0.0785416 0.0785416
11.2 -0.331516 0.31319 -0.331516 0.31319 0.0439082 0.0439082
11.3 -0.302134 0.275893 -0.302134 0.275893 0.0122281 0.0122281
11.4 -0.273153 0.241544 -0.273153 0.241544 -0.016533 -0.016533
11.5 -0.244681 0.210234 -0.244681 0.210234 -0.0424205 -0.0424205
11.6 -0.216811 0.182042 -0.216811 0.182042 -0.0654901 -0.0654901
11.7 -0.189622 0.157033 -0.189622 0.157033 -0.085806 -0.085806
11.8 -0.163178 0.135268 -0.163178 0.135268 -0.10344 -0.10344
11.9 -0.137532 0.116798 -0.137532 0.116798 -0.118469 -0.118469
12 -0.112722 0.10167 -0.112722 0.10167 -0.130974 -0.130974
12.1 -0.0887753 0.0899289 -0.0887753 0.0899289 -0.141042 -0.141042
12.2 -0.0657049 0.0816171 -0.0657049 0.0816171 -0.148759 -0.148759
12.3 -0.0435141 0.076779 -0.0435141 0.076779 -0.154212 -0.154212
12.4 -0.0221946 0.0754617 -0.0221946 0.0754617 -0.157491 -0.157491
12.5 -0.00172749 0.0777175 -0.00172749 0.0777175 -0.15868 -0.15868
12.6 0.0179161 0.0836057 0.0179161 0.0836057 -0.157863 -0.157863
12.7 0.0367752 0.093195 0.0367752 0.093195 -0.155122 -0.155122
12.8 0.0548979 0.106566 0.0548979 0.106566 -0.150532 -0.150532
12.9 0.0723418 0.123812 0.0723418 0.123812 -0.144165 -0.144165
13 0.0891732 0.145045 0.0891732 0.145045 -0.136084 -0.136084
13.1 0.105467 0.170393 0.105467 0.170393 -0.126347 -0.126347
13.2 0.121307 0.200007 0.121307 0.200007 -0.115005 -0.115005
13.3 0.136785 0.23406 0.136785 0.23406 -0.102097 -0.102097
13.4 0.152001 0.272755 0.152001 0.272755 -0.0876558 -0.0876558
13.5 0.167065 0.316322 0.167065 0.316322 -0.0717012 -0.0717012
13.6 0.182094 0.365025 0.182094 0.365025 -0.054243 -0.054243
13.7 0.197214 0.419166 0.197214 0.419166 -0.0352783 -0.0352783
13.8 0.212561 0.479085 0.212561 0.479085 -0.0147914 -0.0147914
13.9 0.228278 0.545166 0.228278 0.545166 0.00724742 0.00724742
14 0.244522 0.617844 0.244522 0.617844 0.030883 0.030883
14.1 0.261457 0.697604 0.261457 0.697604 0.0561762 0.0561762
14.2 0.279259 0.78499 0.279259 0.78499 0.0832047 0.0832047
14.3 0.298116 0.880609 0.298116 0.880609 0.112065 0.112065
14.4 0.318231 0.985137 0.318231 0.985137 0.142872 0.142872
14.5 0.339734 1.09538 0.339734 1.09538 0.175758 0.175758
14.6 0.362486 1.205 0.362486 1.205 0.210859 0.210859
14.7 0.386144 1.31399 0.386144 1.31399 0.248283 0.248283
14.8 0.410403 1.42262 0.410403 1.42262 0.288105 0.288105
14.9 0.434981 1.53098 0.434981 1.53098 0.330372 0.330372
15 0.459611 1.63911 0.459611 1.63911 0.375101 0.375101
15.1 0.484037 1.747 0.484037 1.747 0.422285 0.422285
15.2 0.508021 1.85462 0.508021 1.85462 0.471892 0.471892
15.3 0.531334 1.96188 0.531334 1.96188 0.523865 0.523865
15.4 0.553763 2.06866 0.553763 2.06866 0.578127 0.578127
15.5 0.575107 2.17482 0.575107 2.17482 0.63458 0.63458
15.6 0.595178 2.28019 0.595178 2.28019 0.693104 0.693104
15.7 0.613801 2.38457 0.613801 2.38457 0.753565 0.753565
15.8 0.630811 2.48776 0.630811 2.48776 0.815809 0.815809
15.9 0.646059 2.5895 0.646059 2.5895 0.879668 0.879668
16 0.659408 2.68956 0.659408 2.68956 0.944957 0.944957
16.1 0.67073 2.78768 0.67073 2.78768 1.01148 1.01148
16.2 0.679914 2.88359 0.679914 2.88359 1.07903 1.07903
16.3 0.68686 2.97701 0.68686 2.97701 1.14739 1.14739
16.4 0.69148 3.06767 0.69148 3.06767 1.21632 1.21632
16.5 0.693698 3.15527 0.693698 3.15527 1.2856 1.2856
16.6 0.693454 3.23954 0.693454 3.23954 1.35498 1.35498
16.7 0.690697 3.32019 0.690697 3.32019 1.42421 1.42421
16.8 0.685392 3.39695 0.685392 3.39695 1.49304 1.49304
16.9 0.677513 3.46955 0.677513 3.46955 1.5612 1.5612
17 0.667049 3.53772 0.667049 3.53772 1.62845 1.62845
17.1 0.654002 3.60121 0.654002 3.60121 1.69453 1.69453
17.2 0.638384 3.65979 0.638384 3.65979 1.75917 1.75917
17.3 0.620222 3.71321 0.620222 3.71321 1.82212 1.82212
17.4 0.599554 3.76126 0.599554 3.76126 1.88313 1.88313
17.5 0.576428 3.80376 0.576428 3.80376 1.94195 1.94195
17.6 0.550906 3.8405 0.550906 3.8405 1.99833 1.99833
17.7 0.523062 3.87134 0.523062 3.87134 2.05205 2.05205
17.8 0.492977 3.89613 0.492977 3.89613 2.10287 2.10287
17.9 0.460748 3.91474 0.460748 3.91474 2.15058 2.15058
18 0.426477 3.92707 0.426477 3.92707 2.19496 2.19496
18.1 0.390281 3.93305 0.390281 3.93305 2.23581 2.23581
18.2 0.352282 3.93261 0.352282 3.93261 2.27295 2.27295
18.3 0.312613 3.92573 0.312613 3.92573 2.30621 2.30621
18.4 0.271417 3.91239 0.271417 3.91239 2.33543 2.33543
18.5 0.22884 3.89261 0.22884 3.89261 2.36045 2.36045
18.6 0.185041 3.86644 0.185041 3.86644 2.38115 2.38115
18.7 0.140181 3.83393 0.140181 3.83393 2.39742 2.39742
18.8 0.0944292 3.79518 0.0944292 3.79518 2.40916 2.40916
18.9 0.0479603 3.7503 0.0479603 3.7503 2.41629 2.41629
19 0.000952642 3.69944 0.000952642 3.69944 2.41874 2.41874
19.1 -0.0464111 3.64275 -0.0464111 3.64275 2.41647 2.41647
19.2 -0.0939452 3.58043 -0.0939452 3.58043 2.40945 2.40945
19.3 -0.141461 3.51269 -0.141461 3.51269 2.39768 2.39768
19.4 -0.18877 3.43977 -0.18877 3.43977 2.38117 2.38117
19.5 -0.23568 3.36191 -0.23568 3.36191 2.35994 2.35994
19.6 -0.282 3.27941 -0.282 3.27941 2.33405 2.33405
19.7 -0.327542 3.19256 -0.327542 3.19256 2.30357 2.30357
19.8 -0.372115 3.10168 -0.372115 3.10168 2.26858 2.26858
19.9 -0.415533 3.0071 -0.415533 3.0071 2.22919 2.22919
20 -0.457614 2.90919 -0.457614 2.90919 2.18552 2.18552
20.1 -0.498178 2.80831 -0.498178 2.80831 2.13771 2.13771
20.2 -0.537049 2.70485 -0.537049 2.70485 2.08594 2.08594
20.3 -0.574058 2.5992 -0.574058 2.5992 2.03037 2.03037
20.4 -0.609042 2.49179 -0.609042 2.49179 1.9712 1.9712
20.5 -0.641844 2.38302 -0.641844 2.38302 1.90863 1.90863
20.6 -0.672314 2.27334 -0.672314 2.27334 1.84291 1.84291
20.7 -0.700312 2.16317 -0.700312 2.16317 1.77426 1.77426
20.8 -0.725705 2.05295 -0.725705 2.05295 1.70293 1.70293
20.9 -0.74837 1.94314 -0.74837 1.94314 1.62921 1.62921
21 -0.768194 1.83418 -0.768194 1.83418 1.55335 1.55335
21.1 -0.785075 1.72652 -0.785075 1.72652 1.47567 1.47567
21.2 -0.798921 1.6206 -0.798921 1.6206 1.39644 1.39644
21.3 -0.809653 1.51686 -0.809653 1.51686 1.31599 1.31599
21.4 -0.817203 1.41575 -0.817203 1.41575 1.23462 1.23462
21.5 -0.821514 1.31769 -0.821514 1.31769 1.15265 1.15265
21.6 -0.822543 1.2231 -0.822543 1.2231 1.07042 1.07042
21.7 -0.820261 1.13239 -0.820261 1.13239 0.988256 0.988256
21.8 -0.814649 1.04597 -0.814649 1.04597 0.906483 0.906483
21.9 -0.805737 0.962724 -0.805737 0.962724 0.825436 0.825436
22 -0.793702 0.878867 -0.793702 0.878867 0.745438 0.745438
22.1 -0.778918 0.792154 -0.778918 0.792154 0.666784 0.666784
22.2 -0.761813 0.70323 -0.761813 0.70323 0.589728 0.589728
22.3 -0.742777 0.612342 -0.742777 0.612342 0.514483 0.514483
22.4 -0.722189 0.51968 -0.722189 0.51968 0.441222 0.441222
22.5 -0.700417 0.425381 -0.700417 0.425381 0.370082 0.370082
22.6 -0.677815 0.329526 -0.677815 0.329526 0.301163 0.301163
22.7 -0.654724 0.232142 -0.654724 0.232142 0.234532 0.234532
22.8 -0.631474 0.133197 -0.631474 0.133197 0.170221 0.170221
22.9 -0.608379 0.0326004 -0.608379 0.0326004 0.108229 0.108229
23 -0.585747 -0.0697955 -0.585747 -0.0697955 0.0485269 0.0485269
23.1 -0.56387 -0.174201 -0.56387 -0.174201 -0.00894761 -0.00894761
23.2 -0.543032 -0.280889 -0.543032 -0.280889 -0.064284 -0.064284
23.3 -0.523508 -0.390196 -0.523508 -0.390196 -0.1176 -0.1176
23.4 -0.505566 -0.502526 -0.505566 -0.502526 -0.169041 -0.169041
23.5 -0.489465 -0.618351 -0.489465 -0.618351 -0.218777 -0.218777
23.6 -0.475462 -0.738217 -0.475462 -0.738217 -0.267006 -0.267006
23.7 -0.463806 -0.862745 -0.463806 -0.862745 -0.31395 -0.31395
23.8 -0.454748 -0.992634 -0.454748 -0.992634 -0.359856 -0.359856
23.9 -0.448428 -1.12356 -0.448428 -1.12356 -0.404992 -0.404992
24 -0.444637 -1.24783 -0.444637 -1.24783 -0.449624 -0.449624
24.1 -0.442932 -1.36664 -0.442932 -1.36664 -0.493985 -0.493985
24.2 -0.442962 -1.48057 -0.442962 -1.48057 -0.538265 -0.538265
24.3 -0.444399 -1.59008 -0.444399 -1.59008 -0.582621 -0.582621
24.4 -0.44694 -1.69555 -0.44694 -1.69555 -0.627179 -0.627179
24.5 -0.450307 -1.7973 -0.450307 -1.7973 -0.672035 -0.672035
24.6 -0.454241 -1.89561 -0.454241 -1.89561 -0.717257 -0.717257
24.7 -0.458504 -1.99067 -0.458504 -1.99067 -0.762892 -0.762892
24.8 -0.462875 -2.08266 -0.462875 -2.08266 -0.80896 -0.80896
24.9 -0.467152 -2.1717 -0.467152 -2.1717 -0.855462 -0.855462
25 -0.47115 -2.25787 -0.47115 -2.25787 -0.902379 -0.902379
25.1 -0.4747 -2.34124 -0.4747 -2.34124 -0.949676 -0.949676
25.2 -0.477645 -2.42181 -0.477645 -2.42181 -0.997298 -0.997298
25.3 -0.479846 -2.4996 -0.479846 -2.4996 -1.04518 -1.04518
25.4 -0.481176 -2.57458 -0.481176 -2.57458 -1.09324 -1.09324
25.5 -0.481523 -2.64671 -0.481523 -2.64671 -1.14138 -1.14138
25.6 -0.480784 -2.71592 -0.480784 -2.71592 -1.1895 -1.1895
25.7 -0.478873 -2.78215 -0.478873 -2.78215 -1.2375 -1.2375
25.8 -0.475713 -2.84532 -0.475713 -2.84532 -1.28524 -1.28524
25.9 -0.471239 -2.90532 -0.471239 -2.90532 -1.3326 -1.3326
26 -0.465398 -2.96208 -0.465398 -2.96208 -1.37944 -1.37944
26.1 -0.458148 -3.01548 -0.458148 -3.01548 -1.42563 -1.42563
26.2 -0.449457 -3.06542 -0.449457 -3.06542 -1.47102 -1.47102
26.3 -0.439304 -3.11179 -0.439304 -3.11179 -1.51547 -1.51547
26.4 -0.427677 -3.15451 -0.427677 -3.15451 -1.55883 -1.55883
26.5 -0.414574 -3.19346 -0.414574 -3.19346 -1.60096 -1.60096
26.6 -0.400005 -3.22855 -0.400005 -3.22855 -1.6417 -1.6417
26.7 -0.383984 -3.2597 -0.383984 -3.2597 -1.68091 -1.68091
26.8 -0.36654 -3.28681 -0.36654 -3.28681 -1.71845 -1.71845
26.9 -0.347706 -3.30983 -0.347706 -3.30983 -1.75417 -1.75417
27 -0.327524 -3.32868 -0.327524 -3.32868 -1.78794 -1.78794
27.1 -0.306047 -3.34331 -0.306047 -3.34331 -1.81963 -1.81963
27.2 -0.283331 -3.35368 -0.283331 -3.35368 -1.84911 -1.84911
27.3 -0.259442 -3.35975 -0.259442 -3.35975 -1.87626 -1.87626
27.4 -0.234453 -3.36152 -0.234453 -3.36152 -1.90096 -1.90096
27.5 -0.208442 -3.35897 -0.208442 -3.35897 -1.92312 -1.92312
27.6 -0.181493 -3.35212 -0.181493 -3.35212 -1.94262 -1.94262
27.7 -0.153698 -3.34098 -0.153698 -3.34098 -1.95939 -1.95939
27.8 -0.125152 -3.3256 -0.125152 -3.3256 -1.97334 -1.97334
27.9 -0.0959544 -3.30603 -0.0959544 -3.30603 -1.9844 -1.9844
28 -0.0662105 -3.28233 -0.0662105 -3.28233 -1.99251 -1.99251
28.1 -0.0360285 -3.2546 -0.0360285 -3.2546 -1.99763 -1.99763
28.2 -0.00552007 -3.22292 -0.00552007 -3.22292 -1.99971 -1.99971
28.3 0.0252002 -3.18742 0.0252002 -3.18742 -1.99873 -1.99873
28.4 0.0560154 -3.1482 0.0560154 -3.1482 -1.99467 -1.99467
28.5 0.0868069 -3.10543 0.0868069 -3.10543 -1.98752 -1.98752
28.6 0.117455 -3.05926 0.117455 -3.05926 -1.97731 -1.97731
28.7 0.147838 -3.00985 0.147838 -3.00985 -1.96404 -1.96404
28.8 0.177835 -2.95739 0.177835 -2.95739 -1.94776 -1.94776
28.9 0.207325 -2.90207 0.207325 -2.90207 -1.92849 -1.92849
29 0.236189 -2.84411 0.236189 -2.84411 -1.90631 -1.90631
29.1 0.264307 -2.78372 0.264307 -2.78372 -1.88128 -1.88128
29.2 0.291562 -2.72113 0.291562 -2.72113 -1.85348 -1.85348
29.3 0.31784 -2.65659 0.31784 -2.65659 -1.823 -1.823
29.4 0.343028 -2.59034 0.343028 -2.59034 -1.78995 -1.78995
29.5 0.367019 -2.52265 0.367019 -2.52265 -1.75444 -1.75444
29.6 0.389706 -2.45378 0.389706 -2.45378 -1.71659 -1.71659
29.7 0.410991 -2.38399 0.410991 -2.38399 -1.67654 -1.67654
29.8 0.430776 -2.31358 0.430776 -2.31358 -1.63444 -1.63444
29.9 0.448971 -2.24282 0.448971 -2.24282 -1.59044 -1.59044
30 0.465491 -2.172 0.465491 -2.172 -1.54471 -1.54471
30.1 0.480257 -2.1014 0.480257 -2.1014 -1.4974 -1.4974
30.2 0.493196 -2.03132 0.493196 -2.03132 -1.44872 -1.44872
30.3 0.504241 -1.96204 0.504241 -1.96204 -1.39883 -1.39883
30.4 0.513335 -1.89385 0.513335 -1.89385 -1.34793 -1.34793
30.5 0.520425 -1.82703 0.520425 -1.82703 -1.29623 -1.29623
30.6 0.525467 -1.76188 0.525467 -1.76188 -1.24392 -1.24392
30.7 0.528425 -1.69866 0.528425 -1.69866 -1.1912 -1.1912
30.8 0.529271 -1.63766 0.529271 -1.63766 -1.1383 -1.1383
30.9 0.527984 -1.57912 0.527984 -1.57912 -1.08542 -1.08542
31 0.524553 -1.52332 0.524553 -1.52332 -1.03278 -1.03278
31.1 0.518975 -1.47049 0.518975 -1.47049 -0.980583 -0.980583
31.2 0.511256 -1.42088 0.511256 -1.42088 -0.929054 -0.929054
31.3 0.50141 -1.37472 0.50141 -1.37472 -0.878403 -0.878403
31.4 0.489459 -1.33221 0.489459 -1.33221 -0.828842 -0.828842
31.5 0.475436 -1.29356 0.475436 -1.29356 -0.78058 -0.78058
31.6 0.45938 -1.25896 0.45938 -1.25896 -0.733822 -0.733822
31.7 0.441341 -1.22858 0.441341 -1.22858 -0.688769 -0.688769
31.8 0.421374 -1.20258 0.421374 -1.20258 -0.645618 -0.645618
31.9 0.399546 -1.18109 0.399546 -1.18109 -0.604556 -0.604556
32 0.375929 -1.16424 0.375929 -1.16424 -0.565768 -0.565768
32.1 0.350605 -1.15214 0.350605 -1.15214 -0.529427 -0.529427
32.2 0.323662 -1.14487 0.323662 -1.14487 -0.4957 -0.4957
32.3 0.295196 -1.1425 0.295196 -1.1425 -0.464744 -0.464744
32.4 0.26531 -1.14509 0.26531 -1.14509 -0.436707 -0.436707
32.5 0.234113 -1.15265 0.234113 -1.15265 -0.411725 -0.411725
32.6 0.20172 -1.1652 0.20172 -1.1652 -0.389923 -0.389923
32.7 0.168253 -1.18274 0.168253 -1.18274 -0.371416 -0.371416
32.8 0.133837 -1.20522 0.133837 -1.20522 -0.356303 -0.356303
32.9 0.0986051 -1.2326 0.0986051 -1.2326 -0.344674 -0.344674
33 0.0626917 -1.26481 0.0626917 -1.26481 -0.336604 -0.336604
33.1 0.0262366 -1.30175 0.0262366 -1.30175 -0.332153 -0.332153
33.2 -0.0106175 -1.34332 -0.0106175 -1.34332 -0.331369 -0.331369
33.3 -0.047725 -1.38938 -0.047725 -1.38938 -0.334284 -0.334284
33.4 -0.0849382 -1.43979 -0.0849382 -1.43979 -0.340916 -0.340916
33.5 -0.122108 -1.49438 -0.122108 -1.49438 -0.351268 -0.351268
33.6 -0.159084 -1.55295 -0.159084 -1.55295 -0.36533 -0.36533
33.7 -0.195715 -1.61532 -0.195715 -1.61532 -0.383072 -0.383072
33.8 -0.231851 -1.68124 -0.231851 -1.68124 -0.404455 -0.404455
33.9 -0.267342 -1.7505 -0.267342 -1.7505 -0.42942 -0.42942
34 -0.302039 -1.82283 -0.302039 -1.82283 -0.457896 -0.457896
34.1 -0.335797 -1.89796 -0.335797 -1.89796 -0.489795 -0.489795
34.2 -0.368472 -1.97563 -0.368472 -1.97563 -0.525018 -0.525018
34.3 -0.399922 -2.05553 -0.399922 -2.05553 -0.563448 -0.563448
34.4 -0.430012 -2.13736 -0.430012 -2.13736 -0.604956 -0.604956
34.5 -0.458608 -2.2208 -0.458608 -2.2208 -0.649399 -0.649399
34.6 -0.485585 -2.30554 -0.485585 -2.30554 -0.696622 -0.696622
34.7 -0.510819 -2.39123 -0.510819 -2.39123 -0.746457 -0.746457
34.8 -0.534195 -2.47755 -0.534195 -2.47755 -0.798723 -0.798723
34.9 -0.555603 -2.56415 -0.555603 -2.56415 -0.853229 -0.853229
35 -0.574943 -2.65068 -0.574943 -2.65068 -0.909774 -0.909774
35.1 -0.592118 -2.73679 -0.592118 -2.73679 -0.968145 -0.968145
35.2 -0.607042 -2.82214 -0.607042 -2.82214 -1.02812 -1.02812
35.3 -0.619638 -2.90636 -0.619638 -2.90636 -1.08948 -1.08948
35.4 -0.629834 -2.98912 -0.629834 -2.98912 -1.15197 -1.15197
35.5 -0.637572 -3.07007 -0.637572 -3.07007 -1.21536 -1.21536
35.6 -0.6428 -3.14886 -0.6428 -3.14886 -1.2794 -1.2794
35.7 -0.645477 -3.22516 -0.645477 -3.22516 -1.34383 -1.34383
35.8 -0.645571 -3.29865 -0.645571 -3.29865 -1.40841 -1.40841
35.9 -0.643062 -3.369 -0.643062 -3.369 -1.47286 -1.47286
36 -0.637938 -3.4359 -0.637938 -3.4359 -1.53693 -1.53693
36.1 -0.6302 -3.49906 -0.6302 -3.49906 -1.60036 -1.60036
36.2 -0.619857 -3.55819 -0.619857 -3.55819 -1.66289 -1.66289
36.3 -0.606931 -3.61303 -0.606931 -3.61303 -1.72425 -1.72425
36.4 -0.591452 -3.66331 -0.591452 -3.66331 -1.78419 -1.78419
36.5 -0.573463 -3.7088 -0.573463 -3.7088 -1.84245 -1.84245
36.6 -0.553016 -3.74927 -0.553016 -3.74927 -1.8988 -1.8988
36.7 -0.530174 -3.78452 -0.530174 -3.78452 -1.95298 -1.95298
36.8 -0.50501 -3.81437 -0.50501 -3.81437 -2.00476 -2.00476
