t 1 2 3 4 5 6 7 8 jL0100 jV0400 jV0600 jV0700 jV0800 
0 3.62183e-18 3.62183 1.00196 1.5 3.64708 2.5 2.5 5 3.62183e-09 -1.99804e-09 -3.50953e-10 -3.76208e-10 -2.52529e-05
1e-08 0.000138944 3.62197 1.00473 1.5 3.64402 2.50628 2.5 5 4.05833e-09 2.21944e-09 -2.78463e-09 2.26939e-09 -2.56991e-05
2e-08 0.000558042 3.6224 1.00759 1.5 3.64085 2.51253 2.5 5 6.24798e-09 -1.99034e-09 -2.74966e-10 -2.88052e-10 -2.61544e-05
3e-08 0.00125245 3.6231 1.01038 1.5 3.63786 2.51874 2.5 5 1.19358e-08 2.2132e-09 -2.78548e-09 2.23882e-09 -2.65958e-05
4e-08 0.00221441 3.62408 1.01324 1.5 3.63482 2.52487 2.5 5 2.28273e-08 -1.98475e-09 -1.75503e-10 -2.18779e-10 -2.70408e-05
5e-08 0.00343465 3.62532 1.01599 1.5 3.63195 2.5309 2.5 5 4.05743e-08 2.20527e-09 -2.76392e-09 2.19242e-09 -2.74698e-05
6e-08 0.00490123 3.62681 1.01879 1.5 3.62908 2.53681 2.5 5 6.67622e-08 -1.98133e-09 -5.4647e-11 -1.69651e-10 -2.78973e-05
7e-08 0.00660074 3.62854 1.02147 1.5 3.62639 2.54258 2.5 5 1.02897e-07 2.19558e-09 -2.72146e-09 2.129e-09 -2.83066e-05
8e-08 0.00851743 3.63049 1.02416 1.5 3.62372 2.54818 2.5 5 1.50392e-07 -1.98011e-09 8.53752e-11 -1.41526e-10 -2.87099e-05
9e-08 0.0106342 3.63264 1.02671 1.5 3.62123 2.55358 2.5 5 2.10558e-07 2.1841e-09 -2.6599e-09 2.04776e-09 -2.90927e-05
1e-07 0.0129318 3.63498 1.02925 1.5 3.6188 2.55878 2.5 5 2.84593e-07 -1.98105e-09 2.42247e-10 -1.34807e-10 -2.94655e-05
1.1e-07 0.0153901 3.63748 1.03162 1.5 3.61655 2.56374 2.5 5 3.73569e-07 2.17087e-09 -2.58121e-09 1.94844e-09 -2.98157e-05
1.2e-07 0.017987 3.64012 1.03396 1.5 3.61437 2.56845 2.5 5 4.78426e-07 -1.98411e-09 4.13613e-10 -1.49386e-10 -3.01524e-05
1.3e-07 0.0206995 3.64289 1.03611 1.5 3.61239 2.5729 2.5 5 5.99963e-07 2.15597e-09 -2.48748e-09 1.83128e-09 -3.04645e-05
1.4e-07 0.0235035 3.64574 1.03819 1.5 3.6105 2.57705 2.5 5 7.38831e-07 -1.98914e-09 5.97131e-10 -1.84628e-10 -3.07602e-05
1.5e-07 0.026374 3.64867 1.04007 1.5 3.60881 2.5809 2.5 5 8.95526e-07 2.13953e-09 -2.38082e-09 1.6971e-09 -3.10294e-05
1.6e-07 0.0292851 3.65164 1.04187 1.5 3.60722 2.58443 2.5 5 1.07038e-06 -1.99599e-09 7.90511e-10 -2.39354e-10 -3.12799e-05
1.7e-07 0.0322106 3.65463 1.04344 1.5 3.60583 2.58763 2.5 5 1.26358e-06 2.12174e-09 -2.26334e-09 1.54724e-09 -3.15024e-05
1.8e-07 0.0351236 3.6576 1.04491 1.5 3.60456 2.59048 2.5 5 1.47511e-06 -2.00442e-09 9.91547e-10 -3.11863e-10 -3.17042e-05
1.9e-07 0.0379972 3.66054 1.04614 1.5 3.60349 2.59298 2.5 5 1.70483e-06 2.10284e-09 -2.13709e-09 1.38357e-09 -3.18769e-05
2e-07 0.0408044 3.66342 1.04724 1.5 3.60254 2.59511 2.5 5 1.95239e-06 -2.01417e-09 1.19813e-09 -3.99968e-10 -3.20273e-05
2.1e-07 0.0435182 3.6662 1.04811 1.5 3.6018 2.59686 2.5 5 2.2173e-06 2.0831e-09 -2.00406e-09 1.20842e-09 -3.21478e-05
2.2e-07 0.0461118 3.66886 1.04883 1.5 3.60119 2.59823 2.5 5 2.49888e-06 -2.02495e-09 1.40824e-09 -5.01057e-10 -3.2245e-05
2.3e-07 0.0485591 3.67138 1.04931 1.5 3.60078 2.59921 2.5 5 2.7963e-06 2.06284e-09 -1.86616e-09 1.02451e-09 -3.23116e-05
2.4e-07 0.0508343 3.67373 1.04964 1.5 3.60051 2.5998 2.5 5 3.10855e-06 -2.0364e-09 1.61996e-09 -6.12171e-10 -3.23544e-05
2.5e-07 0.0529125 3.67588 1.04971 1.5 3.60043 2.6 2.5 5 3.43448e-06 2.04238e-09 -1.72527e-09 8.34871e-10 -3.23662e-05
2.6e-07 0.0547696 3.6778 1.04964 1.5 3.6005 2.5998 2.5 5 3.77278e-06 -2.0482e-09 1.83142e-09 -7.30101e-10 -3.23541e-05
2.7e-07 0.0563825 3.67949 1.04931 1.5 3.60076 2.59921 2.5 5 4.12197e-06 2.02207e-09 -1.58322e-09 6.42723e-10 -3.2311e-05
2.8e-07 0.0577293 3.6809 1.04884 1.5 3.60117 2.59823 2.5 5 4.48046e-06 -2.05997e-09 2.04078e-09 -8.51496e-10 -3.22442e-05
2.9e-07 0.0587894 3.68203 1.04812 1.5 3.60177 2.59686 2.5 5 4.84652e-06 2.00227e-09 -1.44187e-09 4.51384e-10 -3.21468e-05
3e-07 0.0595436 3.68286 1.04725 1.5 3.60252 2.59511 2.5 5 5.21827e-06 -2.07137e-09 2.24618e-09 -9.72964e-10 -3.20262e-05
3.1e-07 0.0599744 3.68335 1.04615 1.5 3.60345 2.59298 2.5 5 5.59375e-06 1.9833e-09 -1.30311e-09 2.6415e-10 -3.18757e-05
3.2e-07 0.0600657 3.68351 1.04492 1.5 3.60452 2.59048 2.5 5 5.97086e-06 -2.08207e-09 2.44572e-09 -1.09119e-09 -3.17029e-05
3.3e-07 0.0598034 3.68331 1.04346 1.5 3.60578 2.58763 2.5 5 6.34744e-06 1.96547e-09 -1.1689e-09 8.41929e-11 -3.15013e-05
3.4e-07 0.0591751 3.68274 1.04188 1.5 3.60717 2.58443 2.5 5 6.72122e-06 -2.09176e-09 2.63745e-09 -1.20301e-09 -3.12788e-05
3.5e-07 0.0581705 3.6818 1.0401 1.5 3.60874 2.5809 2.5 5 7.08988e-06 1.94907e-09 -1.0413e-09 -8.55334e-11 -3.10287e-05
3.6e-07 0.0567813 3.68047 1.03821 1.5 3.61044 2.57705 2.5 5 7.45101e-06 -2.10018e-09 2.81932e-09 -1.30556e-09 -3.07595e-05
3.7e-07 0.0550013 3.67874 1.03614 1.5 3.61231 2.5729 2.5 5 7.80218e-06 1.93432e-09 -9.2244e-10 -2.4237e-10 -3.04645e-05
3.8e-07 0.0528267 3.67661 1.03398 1.5 3.6143 2.56845 2.5 5 8.14093e-06 -2.10711e-09 2.98922e-09 -1.39624e-09 -3.01526e-05
3.9e-07 0.0502558 3.67409 1.03165 1.5 3.61645 2.56374 2.5 5 8.46478e-06 1.92142e-09 -8.1453e-10 -3.84013e-10 -2.9817e-05
4e-07 0.0472892 3.67117 1.02927 1.5 3.61871 2.55878 2.5 5 8.77122e-06 -2.11237e-09 3.14498e-09 -1.47288e-09 -2.9467e-05
4.1e-07 0.0439299 3.66785 1.02674 1.5 3.62111 2.55358 2.5 5 9.0578e-06 1.91049e-09 -7.19828e-10 -5.08558e-10 -2.90957e-05
4.2e-07 0.0401835 3.66414 1.02418 1.5 3.62362 2.54818 2.5 5 9.32205e-06 -2.11584e-09 3.2844e-09 -1.53369e-09 -2.8713e-05
4.3e-07 0.0360577 3.66005 1.0215 1.5 3.62625 2.54258 2.5 5 9.56156e-06 1.90163e-09 -6.4059e-10 -6.14523e-10 -2.83119e-05
4.4e-07 0.0315628 3.65558 1.0188 1.5 3.62897 2.53681 2.5 5 9.774e-06 -2.11746e-09 3.40534e-09 -1.57733e-09 -2.79025e-05
4.5e-07 0.0267113 3.65075 1.01602 1.5 3.6318 2.5309 2.5 5 9.95707e-06 1.89487e-09 -5.79012e-10 -7.00854e-10 -2.74778e-05
4.6e-07 0.0215185 3.64558 1.01324 1.5 3.63469 2.52487 2.5 5 1.01086e-05 -2.11721e-09 3.50573e-09 -1.60286e-09 -2.70484e-05
4.7e-07 0.0160015 3.64008 1.0104 1.5 3.63768 2.51874 2.5 5 1.02265e-05 1.89019e-09 -5.37161e-10 -7.66918e-10 -2.66071e-05
4.8e-07 0.0101801 3.63427 1.00759 1.5 3.64071 2.51253 2.5 5 1.03087e-05 -2.11512e-09 3.58369e-09 -1.60978e-09 -2.61647e-05
4.9e-07 0.00407611 3.62817 1.00475 1.5 3.64381 2.50628 2.5 5 1.03535e-05 1.88753e-09 -5.16902e-10 -8.12483e-10 -2.5714e-05
5e-07 -0.00228644 3.62181 1.00195 1.5 3.64694 2.5 2.5 5 1.03591e-05 -2.11125e-09 3.63755e-09 -1.59795e-09 -2.5266e-05
5.1e-07 -0.00888151 3.61521 0.999144 1.5 3.65011 2.49372 2.5 5 1.0324e-05 1.8868e-09 -5.19819e-10 -8.37684e-10 -2.48134e-05
5.2e-07 -0.0156811 3.60841 0.996407 1.5 3.65328 2.48747 2.5 5 1.02469e-05 -2.10572e-09 3.66598e-09 -1.56762e-09 -2.43673e-05
5.3e-07 -0.0226555 3.60142 0.993684 1.5 3.65647 2.48126 2.5 5 1.01264e-05 1.88786e-09 -5.47141e-10 -8.4299e-10 -2.39204e-05
5.4e-07 -0.0297733 3.59429 0.991049 1.5 3.65963 2.47513 2.5 5 9.96173e-06 -2.09864e-09 3.66803e-09 -1.51932e-09 -2.34837e-05
5.5e-07 -0.0370015 3.58704 0.988448 1.5 3.66278 2.4691 2.5 5 9.75195e-06 1.89057e-09 -5.99671e-10 -8.29152e-10 -2.30497e-05
5.6e-07 -0.0443057 3.57971 0.985953 1.5 3.66588 2.46319 2.5 5 9.49651e-06 -2.09019e-09 3.64322e-09 -1.45387e-09 -2.26296e-05
5.7e-07 -0.0516506 3.57234 0.98351 1.5 3.66895 2.45742 2.5 5 9.19506e-06 1.89475e-09 -6.7772e-10 -7.9716e-10 -2.22157e-05
5.8e-07 -0.0589997 3.56496 0.981188 1.5 3.67193 2.45182 2.5 5 8.84744e-06 -2.08051e-09 3.59155e-09 -1.37228e-09 -2.18192e-05
5.9e-07 -0.0663156 3.55761 0.978935 1.5 3.67485 2.44642 2.5 5 8.45375e-06 1.90024e-09 -7.81061e-10 -7.48188e-10 -2.1432e-05
6e-07 -0.0735606 3.55032 0.976816 1.5 3.67766 2.44122 2.5 5 8.01432e-06 -2.06979e-09 3.51361e-09 -1.27576e-09 -2.10653e-05
6.1e-07 -0.0806963 3.54314 0.974779 1.5 3.68037 2.43626 2.5 5 7.5297e-06 1.90685e-09 -9.08886e-10 -6.83551e-10 -2.07108e-05
6.2e-07 -0.0876843 3.53611 0.972887 1.5 3.68295 2.43155 2.5 5 7.00072e-06 -2.05819e-09 3.41056e-09 -1.16561e-09 -2.03798e-05
6.3e-07 -0.0944861 3.52926 0.97109 1.5 3.68541 2.4271 2.5 5 6.42842e-06 1.91441e-09 -1.05979e-09 -6.04656e-10 -2.00634e-05
6.4e-07 -0.101063 3.52262 0.969447 1.5 3.68772 2.42295 2.5 5 5.81408e-06 -2.04587e-09 3.28415e-09 -1.04323e-09 -1.9773e-05
6.5e-07 -0.107378 3.51625 0.967908 1.5 3.68988 2.4191 2.5 5 5.15924e-06 1.92275e-09 -1.23178e-09 -5.12964e-10 -1.94994e-05
6.6e-07 -0.113394 3.51018 0.96653 1.5 3.69186 2.41557 2.5 5 4.46567e-06 -2.033e-09 3.13671e-09 -9.10053e-10 -1.92538e-05
6.7e-07 -0.119073 3.50444 0.965264 1.5 3.69367 2.41237 2.5 5 3.73535e-06 1.93173e-09 -1.42229e-09 -4.0996e-10 -1.9027e-05
6.8e-07 -0.124382 3.49907 0.964164 1.5 3.69528 2.40952 2.5 5 2.97051e-06 -2.0197e-09 2.97113e-09 -7.67526e-10 -1.88297e-05
6.9e-07 -0.129285 3.4941 0.963183 1.5 3.69671 2.40702 2.5 5 2.1736e-06 1.94121e-09 -1.62821e-09 -2.97138e-10 -1.86527e-05
7e-07 -0.13375 3.48957 0.962372 1.5 3.69792 2.40489 2.5 5 1.34725e-06 -2.00612e-09 2.79078e-09 -6.17109e-10 -1.85065e-05
7.1e-07 -0.137746 3.4855 0.961683 1.5 3.69893 2.40314 2.5 5 4.94319e-07 1.95106e-09 -1.84599e-09 -1.75989e-10 -1.83816e-05
7.2e-07 -0.141244 3.48194 0.961167 1.5 3.69971 2.40177 2.5 5 -3.82152e-07 -1.99234e-09 2.59943e-09 -4.60263e-10 -1.82885e-05
7.3e-07 -0.144215 3.4789 0.960778 1.5 3.70029 2.40079 2.5 5 -1.27895e-06 1.96117e-09 -2.07172e-09 -4.80112e-11 -1.82174e-05
7.4e-07 -0.146636 3.4764 0.960561 1.5 3.70063 2.4002 2.5 5 -2.19268e-06 -1.97849e-09 2.40117e-09 -2.98464e-10 -1.81785e-05
7.5e-07 -0.148481 3.47449 0.960473 1.5 3.70075 2.4 2.5 5 -3.11982e-06 1.97145e-09 -2.30124e-09 8.52748e-11 -1.8162e-05
7.6e-07 -0.149732 3.47317 0.960558 1.5 3.70064 2.4002 2.5 5 -4.05668e-06 -1.96465e-09 2.20028e-09 -1.33222e-10 -1.8178e-05
7.7e-07 -0.15037 3.47246 0.960772 1.5 3.70031 2.40079 2.5 5 -4.99948e-06 1.98179e-09 -2.53025e-09 2.223e-10 -1.82163e-05
7.8e-07 -0.150378 3.47238 0.961158 1.5 3.69975 2.40177 2.5 5 -5.9443e-06 -1.95092e-09 2.00109e-09 3.38888e-11 -1.8287e-05
7.9e-07 -0.149743 3.47295 0.961673 1.5 3.69898 2.40314 2.5 5 -6.88716e-06 1.99211e-09 -2.75444e-09 3.6142e-10 -1.83795e-05
8e-07 -0.148457 3.47416 0.962357 1.5 3.69798 2.40489 2.5 5 -7.82398e-06 -1.93739e-09 1.80787e-09 2.01202e-10 -1.85039e-05
8.1e-07 -0.14651 3.47605 0.963168 1.5 3.69678 2.40702 2.5 5 -8.75065e-06 2.00229e-09 -2.96966e-09 5.00883e-10 -1.86495e-05
8.2e-07 -0.143899 3.47859 0.964145 1.5 3.69537 2.40952 2.5 5 -9.66299e-06 -1.92416e-09 1.6247e-09 3.66936e-10 -1.88261e-05
8.3e-07 -0.140621 3.48181 0.965246 1.5 3.69376 2.41237 2.5 5 -1.05568e-05 2.01223e-09 -3.17199e-09 6.38809e-10 -1.90227e-05
8.4e-07 -0.13668 3.48569 0.966507 1.5 3.69197 2.41557 2.5 5 -1.1428e-05 -1.91135e-09 1.45536e-09 5.29172e-10 -1.92491e-05
8.5e-07 -0.132078 3.49023 0.967888 1.5 3.68999 2.4191 2.5 5 -1.22723e-05 2.02181e-09 -3.35788e-09 7.73178e-10 -1.9494e-05
8.6e-07 -0.126824 3.49543 0.969422 1.5 3.68785 2.42295 2.5 5 -1.30857e-05 -1.89908e-09 1.30319e-09 6.85849e-10 -1.9767e-05
8.7e-07 -0.120928 3.50127 0.971069 1.5 3.68555 2.4271 2.5 5 -1.3864e-05 2.03088e-09 -3.52424e-09 9.01826e-10 -2.00568e-05
8.8e-07 -0.114405 3.50774 0.972862 1.5 3.6831 2.43155 2.5 5 -1.46033e-05 -1.88749e-09 1.17106e-09 8.34771e-10 -2.03725e-05
8.9e-07 -0.107271 3.51483 0.974759 1.5 3.68052 2.43626 2.5 5 -1.52998e-05 2.03929e-09 -3.66851e-09 1.02246e-09 -2.07028e-05
9e-07 -0.0995455 3.52251 0.976791 1.5 3.67782 2.44122 2.5 5 -1.59495e-05 -1.87675e-09 1.06128e-09 9.7363e-10 -2.10567e-05
9.1e-07 -0.0912526 3.53076 0.978917 1.5 3.67501 2.44642 2.5 5 -1.65489e-05 2.04688e-09 -3.78868e-09 1.13271e-09 -2.14225e-05
9.2e-07 -0.0824178 3.53956 0.981166 1.5 3.6721 2.45182 2.5 5 -1.70945e-05 -1.86701e-09 9.75588e-10 1.10005e-09 -2.18091e-05
9.3e-07 -0.07307 3.54888 0.983497 1.5 3.66912 2.45742 2.5 5 -1.7583e-05 2.05348e-09 -3.88335e-09 1.23014e-09 -2.22046e-05
9.4e-07 -0.0632407 3.55868 0.985934 1.5 3.66607 2.46319 2.5 5 -1.80112e-05 -1.85846e-09 9.15116e-10 1.21163e-09 -2.26178e-05
9.5e-07 -0.0529643 3.56893 0.98844 1.5 3.66297 2.4691 2.5 5 -1.83763e-05 2.0589e-09 -3.9517e-09 1.31232e-09 -2.30367e-05
9.6e-07 -0.0422778 3.5796 0.991036 1.5 3.65982 2.47513 2.5 5 -1.86755e-05 -1.85125e-09 8.80415e-10 1.30603e-09 -2.34699e-05
9.7e-07 -0.0312206 3.59064 0.993682 1.5 3.65666 2.48126 2.5 5 -1.89064e-05 2.06297e-09 -3.99349e-09 1.37695e-09 -2.39054e-05
9.8e-07 -0.0198344 3.60201 0.9964 1.5 3.65348 2.48747 2.5 5 -1.90668e-05 -1.84556e-09 8.71477e-10 1.38102e-09 -2.43515e-05
9.9e-07 -0.00816329 3.61368 0.999149 1.5 3.6503 2.49372 2.5 5 -1.91547e-05 2.06553e-09 -4.00903e-09 1.42184e-09 -2.47962e-05
1e-06 0.00374689 3.62559 1.00195 1.5 3.64714 2.5 2.5 5 -1.91686e-05 -1.84156e-09 8.87784e-10 1.43457e-09 -2.52479e-05
1.01e-06 0.0158484 3.63769 1.00476 1.5 3.64401 2.50628 2.5 5 -1.91071e-05 2.06642e-09 -3.99909e-09 1.44508e-09 -2.56943e-05
1.02e-06 0.0280917 3.64994 1.0076 1.5 3.64092 2.51253 2.5 5 -1.8969e-05 -1.83936e-09 9.28361e-10 1.46496e-09 -2.6144e-05
1.03e-06 0.0404262 3.66229 1.01043 1.5 3.63788 2.51874 2.5 5 -1.87538e-05 2.06552e-09 -3.96488e-09 1.44507e-09 -2.65848e-05
1.04e-06 0.0527997 3.67467 1.01326 1.5 3.6349 2.52487 2.5 5 -1.84609e-05 -1.83908e-09 9.91844e-10 1.47082e-09 -2.7025e-05
1.05e-06 0.0651592 3.68705 1.01605 1.5 3.63199 2.5309 2.5 5 -1.80903e-05 2.06274e-09 -3.90794e-09 1.42063e-09 -2.74527e-05
1.06e-06 0.0774512 3.69937 1.01883 1.5 3.62917 2.53681 2.5 5 -1.76423e-05 -1.84079e-09 1.07655e-09 1.4512e-09 -2.78763e-05
1.07e-06 0.0896213 3.71157 1.02154 1.5 3.62644 2.54258 2.5 5 -1.71174e-05 2.05801e-09 -3.83012e-09 1.37105e-09 -2.82838e-05
1.08e-06 0.101615 3.72359 1.02421 1.5 3.62382 2.54818 2.5 5 -1.65166e-05 -1.84452e-09 1.18057e-09 1.4057e-09 -2.8684e-05
1.09e-06 0.113378 3.73539 1.02679 1.5 3.6213 2.55358 2.5 5 -1.58412e-05 2.05133e-09 -3.73344e-09 1.29616e-09 -2.90647e-05
1.1e-06 0.124857 3.74691 1.02931 1.5 3.6189 2.55878 2.5 5 -1.50928e-05 -1.85026e-09 1.30181e-09 1.33443e-09 -2.9435e-05
1.11e-06 0.135997 3.7581 1.03171 1.5 3.61663 2.56374 2.5 5 -1.42733e-05 2.04274e-09 -3.62007e-09 1.19634e-09 -2.9783e-05
1.12e-06 0.146746 3.76889 1.03402 1.5 3.61449 2.56845 2.5 5 -1.3385e-05 -1.85794e-09 1.43809e-09 1.23812e-09 -3.01179e-05
1.13e-06 0.157052 3.77925 1.0362 1.5 3.61248 2.5729 2.5 5 -1.24306e-05 2.03232e-09 -3.49222e-09 1.0726e-09 -3.04277e-05
1.14e-06 0.166865 3.78911 1.03826 1.5 3.61062 2.57705 2.5 5 -1.1413e-05 -1.86745e-09 1.5872e-09 1.1181e-09 -3.07221e-05
1.15e-06 0.176135 3.79844 1.04017 1.5 3.6089 2.5809 2.5 5 -1.03354e-05 2.02022e-09 -3.35213e-09 9.26566e-10 -3.09892e-05
1.16e-06 0.184817 3.80718 1.04194 1.5 3.60734 2.58443 2.5 5 -9.20146e-06 -1.87861e-09 1.74695e-09 9.76284e-10 -3.12389e-05
1.17e-06 0.192864 3.81529 1.04354 1.5 3.60593 2.58763 2.5 5 -8.01494e-06 2.00662e-09 -3.20196e-09 7.60427e-10 -3.14595e-05
1.18e-06 0.200235 3.82272 1.04499 1.5 3.60468 2.59048 2.5 5 -6.77998e-06 -1.89122e-09 1.91519e-09 8.15185e-10 -3.16609e-05
1.19e-06 0.206889 3.82944 1.04624 1.5 3.60359 2.59298 2.5 5 -5.50096e-06 1.99176e-09 -3.04384e-09 5.76941e-10 -3.18319e-05
1.2e-06 0.212788 3.83541 1.04733 1.5 3.60266 2.59511 2.5 5 -4.18251e-06 -1.905e-09 2.08987e-09 6.37816e-10 -3.19825e-05
1.21e-06 0.217898 3.84058 1.04822 1.5 3.6019 2.59686 2.5 5 -2.82947e-06 1.97593e-09 -2.8798e-09 3.79344e-10 -3.21016e-05
1.22e-06 0.222187 3.84494 1.04892 1.5 3.60131 2.59823 2.5 5 -1.4469e-06 -1.91965e-09 2.26901e-09 4.47643e-10 -3.21994e-05
1.23e-06 0.225626 3.84845 1.04942 1.5 3.60088 2.59921 2.5 5 -4.00601e-08 1.95944e-09 -2.7118e-09 1.71277e-10 -3.22649e-05
1.24e-06 0.228191 3.85109 1.04972 1.5 3.60062 2.5998 2.5 5 1.38565e-06 -1.93486e-09 2.45069e-09 2.48477e-10 -3.23087e-05
1.25e-06 0.22986 3.85283 1.04982 1.5 3.60053 2.6 2.5 5 2.82466e-06 1.94262e-09 -2.54172e-09 -4.33249e-11 -3.23198e-05
1.26e-06 0.230615 3.85365 1.04972 1.5 3.60061 2.5998 2.5 5 4.27128e-06 -1.95027e-09 2.63306e-09 4.43756e-11 -3.23091e-05
1.27e-06 0.230442 3.85355 1.04942 1.5 3.60086 2.59921 2.5 5 5.71974e-06 1.92583e-09 -2.37143e-09 -2.60341e-10 -3.22657e-05
1.28e-06 0.22933 3.85251 1.04892 1.5 3.60128 2.59823 2.5 5 7.16415e-06 -1.96553e-09 2.81427e-09 -1.60486e-10 -3.22006e-05
1.29e-06 0.227272 3.85052 1.04822 1.5 3.60187 2.59686 2.5 5 8.59861e-06 1.90941e-09 -2.20278e-09 -4.75591e-10 -3.21032e-05
1.3e-06 0.224267 3.84758 1.04734 1.5 3.60262 2.59511 2.5 5 1.00172e-05 -1.98029e-09 2.99247e-09 -3.6193e-10 -3.19847e-05
1.31e-06 0.220314 3.84369 1.04625 1.5 3.60354 2.59298 2.5 5 1.14139e-05 1.8937e-09 -2.03768e-09 -6.84956e-10 -3.18345e-05
1.32e-06 0.215421 3.83887 1.045 1.5 3.60462 2.59048 2.5 5 1.27828e-05 -1.99424e-09 3.16573e-09 -5.55899e-10 -3.16642e-05
1.33e-06 0.209594 3.8331 1.04356 1.5 3.60586 2.58763 2.5 5 1.4118e-05 1.87902e-09 -1.87807e-09 -8.84493e-10 -3.14631e-05
1.34e-06 0.202849 3.82642 1.04196 1.5 3.60726 2.58443 2.5 5 1.54137e-05 -2.00706e-09 3.33209e-09 -7.38566e-10 -3.12433e-05
1.35e-06 0.195202 3.81883 1.04019 1.5 3.60882 2.5809 2.5 5 1.66642e-05 1.86564e-09 -1.72599e-09 -1.07054e-09 -3.09942e-05
1.36e-06 0.186675 3.81036 1.03828 1.5 3.61052 2.57705 2.5 5 1.78639e-05 -2.0185e-09 3.48948e-09 -9.06429e-10 -3.07279e-05
1.37e-06 0.177292 3.80103 1.03622 1.5 3.61238 2.5729 2.5 5 1.90073e-05 1.85381e-09 -1.58356e-09 -1.2398e-09 -3.04341e-05
1.38e-06 0.167082 3.79087 1.03404 1.5 3.61437 2.56845 2.5 5 2.00892e-05 -2.02833e-09 3.63575e-09 -1.05639e-09 -3.01253e-05
1.39e-06 0.156079 3.77991 1.03173 1.5 3.61651 2.56374 2.5 5 2.11045e-05 1.84371e-09 -1.45296e-09 -1.38941e-09 -2.97911e-05
1.4e-06 0.144318 3.7682 1.02932 1.5 3.61877 2.55878 2.5 5 2.20482e-05 -2.0364e-09 3.76873e-09 -1.18582e-09 -2.94443e-05
1.41e-06 0.131839 3.75576 1.02681 1.5 3.62116 2.55358 2.5 5 2.29158e-05 1.83548e-09 -1.33641e-09 -1.51701e-09 -2.90747e-05
1.42e-06 0.118687 3.74264 1.02422 1.5 3.62367 2.54818 2.5 5 2.37028e-05 -2.04258e-09 3.88619e-09 -1.29257e-09 -2.86953e-05
1.43e-06 0.104907 3.72889 1.02155 1.5 3.62629 2.54258 2.5 5 2.44053e-05 1.82922e-09 -1.23614e-09 -1.62073e-09 -2.8296e-05
1.44e-06 0.0905486 3.71456 1.01883 1.5 3.629 2.53681 2.5 5 2.50193e-05 -2.0468e-09 3.98596e-09 -1.37506e-09 -2.78899e-05
1.45e-06 0.0756655 3.6997 1.01606 1.5 3.63182 2.5309 2.5 5 2.55415e-05 1.82497e-09 -1.15429e-09 -1.69925e-09 -2.74671e-05
1.46e-06 0.060313 3.68437 1.01326 1.5 3.63471 2.52487 2.5 5 2.59687e-05 -2.04907e-09 4.06595e-09 -1.43219e-09 -2.7041e-05
1.47e-06 0.0445491 3.66862 1.01043 1.5 3.63768 2.51874 2.5 5 2.62981e-05 1.8227e-09 -1.09289e-09 -1.75176e-09 -2.66017e-05
1.48e-06 0.0284342 3.65252 1.0076 1.5 3.64072 2.51253 2.5 5 2.65274e-05 -2.04939e-09 4.12425e-09 -1.4634e-09 -2.61625e-05
1.49e-06 0.012031 3.63612 1.00476 1.5 3.6438 2.50628 2.5 5 2.66545e-05 1.82238e-09 -1.05377e-09 -1.77796e-09 -2.57138e-05
1.5e-06 -0.00459594 3.6195 1.00194 1.5 3.64693 2.5 2.5 5 2.66779e-05 -2.04786e-09 4.15919e-09 -1.46861e-09 -2.52689e-05
1.51e-06 -0.0213806 3.60271 0.999141 1.5 3.65008 2.49372 2.5 5 2.65962e-05 1.82389e-09 -1.03845e-09 -1.77802e-09 -2.48182e-05
1.52e-06 -0.0382553 3.58583 0.996383 1.5 3.65325 2.48747 2.5 5 2.64089e-05 -2.04457e-09 4.1694e-09 -1.44821e-09 -2.43752e-05
1.53e-06 -0.0551515 3.56892 0.993665 1.5 3.65642 2.48126 2.5 5 2.61155e-05 1.82714e-09 -1.04812e-09 -1.75253e-09 -2.39299e-05
1.54e-06 -0.0719998 3.55206 0.991008 1.5 3.65958 2.47513 2.5 5 2.5716e-05 -2.03966e-09 4.15393e-09 -1.40298e-09 -2.34961e-05
1.55e-06 -0.0887302 3.53531 0.988412 1.5 3.66272 2.4691 2.5 5 2.5211e-05 1.83195e-09 -1.08355e-09 -1.70249e-09 -2.30638e-05
1.56e-06 -0.105272 3.51874 0.985895 1.5 3.66582 2.46319 2.5 5 2.46016e-05 -2.03328e-09 4.11226e-09 -1.33407e-09 -2.26463e-05
1.57e-06 -0.121557 3.50243 0.983457 1.5 3.66886 2.45742 2.5 5 2.3889e-05 1.83819e-09 -1.14501e-09 -1.62921e-09 -2.22339e-05
1.58e-06 -0.137513 3.48644 0.981114 1.5 3.67184 2.45182 2.5 5 2.30751e-05 -2.0256e-09 4.04438e-09 -1.24293e-09 -2.18398e-05
1.59e-06 -0.153073 3.47085 0.978865 1.5 3.67475 2.44642 2.5 5 2.21622e-05 1.84566e-09 -1.23224e-09 -1.53429e-09 -2.14538e-05
1.6e-06 -0.168167 3.45571 0.976725 1.5 3.67755 2.44122 2.5 5 2.1153e-05 -2.0168e-09 3.95086e-09 -1.13125e-09 -2.10893e-05
1.61e-06 -0.182731 3.44111 0.974693 1.5 3.68025 2.43626 2.5 5 2.00506e-05 1.85419e-09 -1.3444e-09 -1.41952e-09 -2.07359e-05
1.62e-06 -0.196698 3.42709 0.972782 1.5 3.68283 2.43155 2.5 5 1.88586e-05 -2.00705e-09 3.83283e-09 -1.00093e-09 -2.04067e-05
