f 1m 1f 2m 2f jV0200m jV0200f 
0.870964 0.0870904 1.56209 10 -0 0.0870904 -1.57951 
0.891251 0.0891188 1.56188 10 -0 0.0891188 -1.57971 
0.912011 0.0911945 1.56168 10 -0 0.0911945 -1.57992 
0.933254 0.0933185 1.56146 10 -0 0.0933185 -1.58013 
0.954993 0.0954919 1.56125 10 -0 0.0954919 -1.58035 
0.977237 0.097716 1.56102 10 -0 0.097716 -1.58057 
1 0.0999919 1.5608 10 -0 0.0999919 -1.5808 
1.02329 0.102321 1.56056 10 -0 0.102321 -1.58103 
1.04713 0.104704 1.56033 10 -0 0.104704 -1.58127 
1.07152 0.107142 1.56008 10 -0 0.107142 -1.58151 
1.09648 0.109638 1.55983 10 -0 0.109638 -1.58176 
1.12202 0.112191 1.55958 10 -0 0.112191 -1.58202 
1.14815 0.114804 1.55932 10 -0 0.114804 -1.58228 
1.1749 0.117478 1.55905 10 -0 0.117478 -1.58254 
1.20226 0.120214 1.55877 10 -0 0.120214 -1.58282 
1.23027 0.123014 1.55849 10 -0 0.123014 -1.5831 
1.25893 0.125879 1.55821 10 -0 0.125879 -1.58338 
1.28825 0.12881 1.55791 10 -0 0.12881 -1.58368 
1.31826 0.13181 1.55761 10 -0 0.13181 -1.58398 
1.34896 0.13488 1.55731 10 -0 0.13488 -1.58428 
1.38038 0.138021 1.55699 10 -0 0.138021 -1.5846 
1.41254 0.141235 1.55667 10 -0 0.141235 -1.58492 
1.44544 0.144524 1.55634 10 -0 0.144524 -1.58525 
1.47911 0.14789 1.55601 10 -0 0.14789 -1.58559 
1.51356 0.151334 1.55566 10 -0 0.151334 -1.58593 
1.54882 0.154858 1.55531 10 -0 0.154858 -1.58628 
1.58489 0.158464 1.55495 10 -0 0.158464 -1.58664 
1.62181 0.162155 1.55458 10 -0 0.162155 -1.58701 
1.65959 0.165931 1.5542 10 -0 0.165931 -1.58739 
1.69824 0.169795 1.55382 10 -0 0.169795 -1.58778 
1.7378 0.173748 1.55342 10 -0 0.173748 -1.58817 
1.77828 0.177794 1.55302 10 -0 0.177794 -1.58858 
1.8197 0.181934 1.5526 10 -0 0.181934 -1.58899 
1.86209 0.186171 1.55218 10 -0 0.186171 -1.58941 
1.90546 0.190506 1.55174 10 -0 0.190506 -1.58985 
1.94984 0.194941 1.5513 10 -0 0.194941 -1.59029 
1.99526 0.19948 1.55085 10 -0 0.19948 -1.59075 
2.04174 0.204125 1.55038 10 -0 0.204125 -1.59121 
2.0893 0.208878 1.54991 10 -0 0.208878 -1.59169 
2.13796 0.213741 1.54942 10 -0 0.213741 -1.59217 
2.18776 0.218717 1.54892 10 -0 0.218717 -1.59267 
2.23872 0.223809 1.54841 10 -0 0.223809 -1.59318 
2.29087 0.22902 1.54789 10 -0 0.22902 -1.5937 
