f 1m 1f 2m 2f jV0200m jV0200f 
2041.74 9.98803 0.0489403 10 -0 9.98803 -3.09265 
2089.3 9.98856 0.047828 10 -0 9.98856 -3.09376 
2137.96 9.98908 0.0467409 10 -0 9.98908 -3.09485 
2187.76 9.98957 0.0456784 10 -0 9.98957 -3.09591 
2238.72 9.99004 0.0446401 10 -0 9.99004 -3.09695 
2290.87 9.99049 0.0436252 10 -0 9.99049 -3.09797 
2344.23 9.99091 0.0426334 10 -0 9.99091 -3.09896 
2398.83 9.99132 0.0416641 10 -0 9.99132 -3.09993 
2454.71 9.99171 0.0407168 10 -0 9.99171 -3.10088 
2511.89 9.99208 0.0397909 10 -0 9.99208 -3.1018 
2570.4 9.99244 0.0388861 10 -0 9.99244 -3.10271 
2630.27 9.99278 0.0380018 10 -0 9.99278 -3.10359 
2691.53 9.9931 0.0371376 10 -0 9.9931 -3.10446 
2754.23 9.99341 0.036293 10 -0 9.99341 -3.1053 
2818.38 9.99371 0.0354676 10 -0 9.99371 -3.10613 
2884.03 9.99399 0.0346609 10 -0 9.99399 -3.10693 
2951.21 9.99426 0.0338725 10 -0 9.99426 -3.10772 
3019.95 9.99452 0.033102 10 -0 9.99452 -3.10849 
3090.3 9.99477 0.0323491 10 -0 9.99477 -3.10924 
3162.28 9.995 0.0316132 10 -0 9.995 -3.10998 
3235.94 9.99523 0.0308941 10 -0 9.99523 -3.1107 
3311.31 9.99544 0.0301913 10 -0 9.99544 -3.1114 
3388.44 9.99565 0.0295044 10 -0 9.99565 -3.11209 
3467.37 9.99584 0.0288332 10 -0 9.99584 -3.11276 
3548.13 9.99603 0.0281772 10 -0 9.99603 -3.11342 
3630.78 9.99621 0.0275362 10 -0 9.99621 -3.11406 
3715.35 9.99638 0.0269097 10 -0 9.99638 -3.11468 
3801.89 9.99654 0.0262974 10 -0 9.99654 -3.1153 
3890.45 9.9967 0.0256991 10 -0 9.9967 -3.11589 
3981.07 9.99685 0.0251144 10 -0 9.99685 -3.11648 
4073.8 9.99699 0.0245429 10 -0 9.99699 -3.11705 
4168.69 9.99712 0.0239845 10 -0 9.99712 -3.11761 
4265.8 9.99725 0.0234387 10 -0 9.99725 -3.11815 
4365.16 9.99738 0.0229054 10 -0 9.99738 -3.11869 
4466.84 9.99749 0.0223842 10 -0 9.99749 -3.11921 
4570.88 9.99761 0.0218748 10 -0 9.99761 -3.11972 
4677.35 9.99772 0.021377 10 -0 9.99772 -3.12022 
4786.3 9.99782 0.0208906 10 -0 9.99782 -3.1207 
4897.79 9.99792 0.0204152 10 -0 9.99792 -3.12118 
5011.87 9.99801 0.0199506 10 -0 9.99801 -3.12164 
5128.61 9.9981 0.0194966 10 -0 9.9981 -3.1221 
5248.07 9.99818 0.0190529 10 -0 9.99818 -3.12254 
5370.32 9.99827 0.0186193 10 -0 9.99827 -3.12297 
5495.41 9.99834 0.0181956 10 -0 9.99834 -3.1234 
5623.41 9.99842 0.0177815 10 -0 9.99842 -3.12381 
5754.4 9.99849 0.0173768 10 -0 9.99849 -3.12422 
5888.44 9.99856 0.0169813 10 -0 9.99856 -3.12461 
6025.6 9.99862 0.0165949 10 -0 9.99862 -3.125 
6165.95 9.99869 0.0162172 10 -0 9.99869 -3.12538 
6309.57 9.99874 0.0158481 10 -0 9.99874 -3.12574 
6456.54 9.9988 0.0154874 10 -0 9.9988 -3.12611 
6606.93 9.99885 0.0151349 10 -0 9.99885 -3.12646 
6760.83 9.99891 0.0147905 10 -0 9.99891 -3.1268 
6918.31 9.99896 0.0144538 10 -0 9.99896 -3.12714 
7079.46 9.999 0.0141249 10 -0 9.999 -3.12747 
7244.36 9.99905 0.0138034 10 -0 9.99905 -3.12779 
7413.1 9.99909 0.0134892 10 -0 9.99909 -3.1281 
7585.78 9.99913 0.0131822 10 -0 9.99913 -3.12841 
7762.47 9.99917 0.0128822 10 -0 9.99917 -3.12871 
7943.28 9.99921 0.012589 10 -0 9.99921 -3.129 
8128.31 9.99924 0.0123024 10 -0 9.99924 -3.12929 
8317.64 9.99928 0.0120224 10 -0 9.99928 -3.12957 
8511.38 9.99931 0.0117488 10 -0 9.99931 -3.12984 
8709.64 9.99934 0.0114814 10 -0 9.99934 -3.13011 
8912.51 9.99937 0.0112201 10 -0 9.99937 -3.13037 
9120.11 9.9994 0.0109647 10 -0 9.9994 -3.13063 
9332.54 9.99943 0.0107151 10 -0 9.99943 -3.13088 
9549.93 9.99945 0.0104712 10 -0 9.99945 -3.13112 
9772.37 9.99948 0.0102329 10 -0 9.99948 -3.13136 
10000 9.9995 0.00999998 10 -0 9.9995 -3.13159 
